
Id Ponto:;3100020110
Consulta em:;06/09/2024 13:16:31
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;20/04/2011;21:00;24,27;;N;
2;21/04/2011;14:00;24,14;;N;
3;22/04/2011;15:00;24,33;;N;
4;23/04/2011;1:00;24,28;;N;
5;24/04/2011;23:00;24,39;;N;
6;25/04/2011;9:00;24,53;;N;
7;26/04/2011;3:00;24,52;;N;
8;27/04/2011;0:00;24,53;;N;
9;28/04/2011;15:00;24,53;;N;
10;29/04/2011;2:00;24,51;;N;
11;30/04/2011;15:00;24,60;;N;
12;01/05/2011;1:00;24,71;;N;
13;02/05/2011;15:00;24,67;;N;
14;03/05/2011;1:00;24,69;;N;
15;04/05/2011;1:00;24,68;;N;
16;05/05/2011;8:00;24,72;;N;
17;06/05/2011;16:00;24,80;;N;
18;07/05/2011;16:00;24,65;;N;
19;08/05/2011;4:00;24,61;;N;
20;09/05/2011;15:00;24,80;;N;
21;10/05/2011;23:00;24,89;;N;
22;11/05/2011;0:00;24,83;;N;
23;12/05/2011;14:00;24,67;;N;
24;13/05/2011;10:00;24,67;;N;
25;14/05/2011;15:00;24,56;;N;
26;15/05/2011;18:00;24,41;;N;
27;16/05/2011;15:00;24,60;;N;
28;17/05/2011;17:00;24,70;;N;
29;18/05/2011;23:00;24,68;;N;
30;19/05/2011;16:00;24,55;;N;
31;20/05/2011;0:00;24,68;;N;
32;21/05/2011;14:00;24,58;;N;
33;22/05/2011;23:00;24,67;;N;
34;23/05/2011;16:00;24,63;;N;
35;24/05/2011;8:00;24,84;;N;
36;25/05/2011;23:00;24,83;;N;
37;26/05/2011;17:00;24,85;;N;
38;27/05/2011;11:00;24,99;;N;
39;28/05/2011;16:00;24,73;;N;
40;29/05/2011;5:00;24,68;;N;
41;30/05/2011;23:00;24,87;;N;
42;31/05/2011;22:00;24,86;;N;
43;01/06/2011;2:00;24,71;;N;
44;02/06/2011;11:00;24,93;;N;
45;03/06/2011;0:00;24,93;;N;
46;04/06/2011;21:00;24,83;;N;
47;05/06/2011;19:00;24,63;;N;
48;06/06/2011;12:00;24,67;;N;
49;07/06/2011;19:00;24,83;;N;
50;08/06/2011;21:00;24,87;;N;
51;09/06/2011;9:00;24,98;;N;
52;10/06/2011;16:00;24,92;;N;
53;11/06/2011;10:00;24,83;;N;
54;12/06/2011;15:00;24,64;;N;
55;13/06/2011;18:00;24,73;;N;
56;14/06/2011;14:00;24,66;;N;
57;15/06/2011;17:00;24,77;;N;
58;16/06/2011;20:00;24,79;;N;
59;17/06/2011;11:00;24,86;;N;
60;18/06/2011;4:00;24,71;;N;
61;19/06/2011;19:00;24,67;;N;
62;20/06/2011;1:00;24,64;;N;
63;21/06/2011;12:00;24,91;;N;
64;22/06/2011;22:00;24,96;;N;
65;23/06/2011;14:00;24,88;;N;
66;24/06/2011;15:00;24,94;;N;
67;25/06/2011;1:00;24,85;;N;
68;26/06/2011;4:00;24,80;;N;
69;27/06/2011;15:00;24,77;;N;
70;28/06/2011;16:00;24,86;;N;
71;29/06/2011;18:00;24,78;;N;
72;30/06/2011;1:00;24,85;;N;
73;01/07/2011;0:00;24,97;;N;
74;02/07/2011;16:00;24,92;;N;
75;03/07/2011;6:00;24,90;;N;
76;04/07/2011;22:00;24,99;;N;
77;05/07/2011;1:00;24,96;;N;
78;06/07/2011;14:00;24,98;;N;
79;07/07/2011;13:00;25,20;;N;
80;08/07/2011;18:00;25,23;;N;
81;09/07/2011;19:00;25,33;;N;
82;10/07/2011;13:00;25,11;;N;
83;11/07/2011;12:00;25,32;;N;
