# Processado em: 2025-03-10T17:01:34.677891
,data_da_medicao,niveldagua_m,date,tempo_s
0,17/06/2015,14.92,2015-06-17,487814400.0
1,18/06/2015,14.93,2015-06-18,487900800.0
2,19/06/2015,14.93,2015-06-19,487987200.0
3,20/06/2015,14.93,2015-06-20,488073600.0
4,21/06/2015,14.93,2015-06-21,488160000.0
5,22/06/2015,14.93,2015-06-22,488246400.0
6,23/06/2015,14.93,2015-06-23,488332800.0
7,24/06/2015,14.93,2015-06-24,488419200.0
8,25/06/2015,14.93,2015-06-25,488505600.0
9,26/06/2015,14.92,2015-06-26,488592000.0
10,27/06/2015,14.92,2015-06-27,488678400.0
11,28/06/2015,14.92,2015-06-28,488764800.0
12,29/06/2015,14.92,2015-06-29,488851200.0
13,30/06/2015,14.92,2015-06-30,488937600.0
14,01/07/2015,14.92,2015-07-01,489024000.0
15,02/07/2015,14.91,2015-07-02,489110400.0
16,03/07/2015,14.91,2015-07-03,489196800.0
17,04/07/2015,14.92,2015-07-04,489283200.0
18,05/07/2015,14.92,2015-07-05,489369600.0
19,06/07/2015,14.92,2015-07-06,489456000.0
20,07/07/2015,14.92,2015-07-07,489542400.0
21,08/07/2015,14.92,2015-07-08,489628800.0
22,09/07/2015,14.92,2015-07-09,489715200.0
23,10/07/2015,14.92,2015-07-10,489801600.0
24,11/07/2015,14.92,2015-07-11,489888000.0
25,12/07/2015,14.92,2015-07-12,489974400.0
26,13/07/2015,14.92,2015-07-13,490060800.0
27,14/07/2015,14.92,2015-07-14,490147200.0
28,15/07/2015,14.93,2015-07-15,490233600.0
29,16/07/2015,14.93,2015-07-16,490320000.0
30,17/07/2015,14.93,2015-07-17,490406400.0
31,18/07/2015,14.93,2015-07-18,490492800.0
32,19/07/2015,14.93,2015-07-19,490579200.0
33,20/07/2015,14.93,2015-07-20,490665600.0
34,21/07/2015,14.94,2015-07-21,490752000.0
35,22/07/2015,14.94,2015-07-22,490838400.0
36,23/07/2015,14.94,2015-07-23,490924800.0
37,24/07/2015,14.94,2015-07-24,491011200.0
38,25/07/2015,14.94,2015-07-25,491097600.0
39,26/07/2015,14.94,2015-07-26,491184000.0
40,27/07/2015,14.95,2015-07-27,491270400.0
41,28/07/2015,14.95,2015-07-28,491356800.0
42,29/07/2015,14.96,2015-07-29,491443200.0
43,30/07/2015,14.96,2015-07-30,491529600.0
44,31/07/2015,14.96,2015-07-31,491616000.0
45,01/08/2015,14.96,2015-08-01,491702400.0
46,02/08/2015,14.96,2015-08-02,491788800.0
47,03/08/2015,14.97,2015-08-03,491875200.0
48,04/08/2015,14.97,2015-08-04,491961600.0
49,05/08/2015,14.97,2015-08-05,492048000.0
50,06/08/2015,14.97,2015-08-06,492134400.0
51,07/08/2015,14.98,2015-08-07,492220800.0
52,08/08/2015,14.98,2015-08-08,492307200.0
53,09/08/2015,14.99,2015-08-09,492393600.0
54,10/08/2015,14.99,2015-08-10,492480000.0
55,11/08/2015,15.0,2015-08-11,492566400.0
56,12/08/2015,15.0,2015-08-12,492652800.0
57,13/08/2015,15.01,2015-08-13,492739200.0
58,14/08/2015,15.01,2015-08-14,492825600.0
59,15/08/2015,15.01,2015-08-15,492912000.0
60,16/08/2015,15.02,2015-08-16,492998400.0
61,17/08/2015,15.02,2015-08-17,493084800.0
62,18/08/2015,15.02,2015-08-18,493171200.0
63,19/08/2015,15.03,2015-08-19,493257600.0
64,20/08/2015,15.03,2015-08-20,493344000.0
65,21/08/2015,15.04,2015-08-21,493430400.0
66,22/08/2015,15.03,2015-08-22,493516800.0
67,23/08/2015,15.04,2015-08-23,493603200.0
68,24/08/2015,15.04,2015-08-24,493689600.0
69,25/08/2015,15.05,2015-08-25,493776000.0
70,26/08/2015,15.05,2015-08-26,493862400.0
71,27/08/2015,15.06,2015-08-27,493948800.0
72,28/08/2015,15.07,2015-08-28,494035200.0
73,29/08/2015,15.07,2015-08-29,494121600.0
74,30/08/2015,15.07,2015-08-30,494208000.0
75,31/08/2015,15.07,2015-08-31,494294400.0
76,01/09/2015,15.08,2015-09-01,494380800.0
77,02/09/2015,15.08,2015-09-02,494467200.0
78,03/09/2015,15.08,2015-09-03,494553600.0
79,04/09/2015,15.09,2015-09-04,494640000.0
80,05/09/2015,15.09,2015-09-05,494726400.0
81,06/09/2015,15.1,2015-09-06,494812800.0
82,07/09/2015,15.09,2015-09-07,494899200.0
83,08/09/2015,15.1,2015-09-08,494985600.0
84,09/09/2015,15.11,2015-09-09,495072000.0
85,10/09/2015,15.1,2015-09-10,495158400.0
