
Id Ponto:;3500027572
Consulta em:;06/09/2024 15:21:36
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1468;20/07/2011;19:00;3,85;;N;
1;21/07/2011;12:00;3,76;;N;
2;22/07/2011;11:00;3,61;;N;
3;23/07/2011;15:00;3,63;;N;
4;24/07/2011;08:00;3,64;;N;
5;25/07/2011;10:00;3,66;;N;
6;26/07/2011;04:00;3,66;;N;
7;27/07/2011;15:00;3,67;;N;
8;28/07/2011;16:00;3,67;;N;
9;29/07/2011;02:00;3,69;;N;
10;30/07/2011;13:00;3,63;;N;
11;31/07/2011;05:00;3,56;;N;
12;01/08/2011;12:00;3,23;;N;
13;02/08/2011;04:00;3,04;;N;
14;03/08/2011;11:00;3,10;;N;
15;04/08/2011;11:00;3,16;;N;
16;05/08/2011;11:00;3,20;;N;
17;06/08/2011;15:00;3,23;;N;
18;07/08/2011;08:00;3,26;;N;
19;08/08/2011;16:00;3,27;;N;
20;09/08/2011;12:00;3,18;;N;
21;10/08/2011;11:00;3,10;;N;
22;11/08/2011;19:00;3,13;;N;
23;12/08/2011;11:00;3,17;;N;
24;13/08/2011;14:00;3,20;;N;
25;14/08/2011;11:00;3,22;;N;
26;15/08/2011;09:00;3,25;;N;
27;16/08/2011;11:00;3,27;;N;
28;17/08/2011;11:00;3,30;;N;
29;18/08/2011;16:00;3,32;;N;
30;19/08/2011;12:00;3,12;;N;
31;20/08/2011;11:00;2,99;;N;
32;21/08/2011;11:00;3,03;;N;
33;22/08/2011;14:00;3,07;;N;
34;23/08/2011;11:00;2,86;;N;
35;24/08/2011;11:00;2,87;;N;
36;25/08/2011;14:00;2,90;;N;
37;26/08/2011;10:00;2,95;;N;
38;27/08/2011;20:00;3,01;;N;
39;28/08/2011;05:00;3,03;;N;
40;29/08/2011;17:00;3,05;;N;
41;30/08/2011;03:00;3,06;;N;
42;31/08/2011;12:00;2,95;;N;
43;01/09/2011;11:00;2,97;;N;
44;02/09/2011;15:00;2,99;;N;
45;03/09/2011;07:00;3,01;;N;
46;04/09/2011;15:00;3,04;;N;
47;05/09/2011;11:00;3,07;;N;
48;06/09/2011;11:00;3,13;;N;
49;07/09/2011;12:00;3,03;;N;
50;08/09/2011;12:00;2,83;;N;
51;09/09/2011;08:00;2,65;;N;
52;10/09/2011;11:00;2,71;;N;
53;11/09/2011;14:00;2,76;;N;
54;12/09/2011;15:00;2,80;;N;
55;13/09/2011;15:00;2,83;;N;
56;14/09/2011;11:00;2,91;;N;
57;15/09/2011;11:00;2,95;;N;
58;16/09/2011;16:00;2,97;;N;
59;17/09/2011;09:00;3,05;;N;
60;18/09/2011;11:00;3,09;;N;
61;19/09/2011;11:00;3,11;;N;
62;20/09/2011;11:00;3,15;;N;
63;21/09/2011;11:00;3,30;;N;
64;22/09/2011;11:00;3,34;;N;
65;23/09/2011;18:00;3,37;;N;
66;24/09/2011;11:00;3,42;;N;
67;25/09/2011;11:00;3,46;;N;
68;26/09/2011;11:00;3,49;;N;
69;27/09/2011;18:00;3,53;;N;
70;28/09/2011;08:00;3,58;;N;
71;29/09/2011;11:00;3,63;;N;
72;30/09/2011;11:00;3,67;;N;
73;01/10/2011;13:00;3,70;;N;
74;02/10/2011;11:00;3,75;;N;
75;03/10/2011;15:00;3,80;;N;
76;04/10/2011;11:00;3,85;;N;
77;05/10/2011;11:00;3,88;;N;
78;06/10/2011;11:00;3,92;;N;
79;07/10/2011;11:00;3,96;;N;
80;08/10/2011;11:00;3,98;;N;
81;09/10/2011;12:00;3,98;;N;
82;10/10/2011;11:00;3,89;;N;
83;11/10/2011;10:00;3,93;;N;
84;12/10/2011;19:00;3,95;;N;
85;13/10/2011;12:00;3,90;;N;
86;14/10/2011;05:00;3,53;;N;
87;15/10/2011;11:00;3,57;;N;
88;16/10/2011;11:00;3,55;;N;
89;17/10/2011;08:00;3,54;;N;
90;18/10/2011;11:00;3,57;;N;
91;19/10/2011;11:00;3,59;;N;
92;20/10/2011;09:00;3,59;;N;
93;21/10/2011;14:00;3,60;;N;
94;22/10/2011;04:00;3,61;;N;
95;23/10/2011;18:00;3,63;;N;
96;24/10/2011;09:00;3,66;;N;
97;25/10/2011;17:00;3,67;;N;
98;26/10/2011;11:00;3,70;;N;
99;27/10/2011;11:00;3,74;;N;
100;28/10/2011;06:00;3,78;;N;
101;29/10/2011;05:00;3,80;;N;
102;30/10/2011;20:00;3,57;;N;
103;31/10/2011;11:00;3,61;;N;
104;01/11/2011;11:00;3,65;;N;
105;02/11/2011;11:00;3,67;;N;
106;03/11/2011;09:00;3,70;;N;
107;04/11/2011;17:00;3,72;;N;
108;05/11/2011;11:00;3,76;;N;
109;06/11/2011;11:00;3,80;;N;
110;07/11/2011;11:00;3,83;;N;
111;08/11/2011;13:00;3,85;;N;
112;09/11/2011;11:00;3,89;;N;
113;10/11/2011;11:00;3,93;;N;
114;11/11/2011;11:00;3,97;;N;
115;12/11/2011;11:00;3,99;;N;
116;13/11/2011;05:00;4,01;;N;
117;14/11/2011;23:00;3,97;;N;
118;15/11/2011;10:00;3,95;;N;
119;16/11/2011;12:00;3,88;;N;
120;17/11/2011;17:00;3,89;;N;
121;18/11/2011;11:00;3,93;;N;
122;19/11/2011;16:00;3,96;;N;
123;20/11/2011;12:00;3,99;;N;
124;21/11/2011;23:00;4,01;;N;
125;22/11/2011;12:00;3,97;;N;
126;23/11/2011;11:00;3,93;;N;
127;24/11/2011;15:00;3,95;;N;
128;25/11/2011;11:00;3,97;;N;
129;26/11/2011;11:00;4,00;;N;
130;27/11/2011;11:00;4,03;;N;
131;28/11/2011;14:00;4,06;;N;
132;29/11/2011;16:00;4,08;;N;
133;30/11/2011;14:00;4,10;;N;
134;01/12/2011;11:00;4,15;;N;
135;02/12/2011;11:00;4,19;;N;
136;03/12/2011;11:00;4,21;;N;
137;04/12/2011;11:00;4,25;;N;
138;05/12/2011;08:00;4,29;;N;
139;06/12/2011;11:00;4,32;;N;
140;07/12/2011;13:00;4,35;;N;
141;08/12/2011;11:00;4,37;;N;
142;09/12/2011;11:00;4,39;;N;
143;10/12/2011;11:00;4,42;;N;
144;11/12/2011;08:00;4,45;;N;
145;12/12/2011;11:00;4,46;;N;
146;13/12/2011;11:00;4,48;;N;
147;14/12/2011;18:00;4,49;;N;
148;15/12/2011;11:00;4,52;;N;
149;16/12/2011;11:00;4,54;;N;
150;17/12/2011;11:00;4,56;;N;
151;18/12/2011;11:00;4,58;;N;
152;19/12/2011;11:00;4,61;;N;
153;20/12/2011;11:00;4,64;;N;
154;21/12/2011;11:00;4,66;;N;
155;22/12/2011;18:00;4,69;;N;
156;23/12/2011;11:00;4,72;;N;
157;24/12/2011;11:00;4,73;;N;
158;25/12/2011;11:00;4,75;;N;
159;26/12/2011;14:00;4,76;;N;
160;27/12/2011;11:00;4,77;;N;
161;28/12/2011;10:00;4,77;;N;
162;29/12/2011;17:00;4,77;;N;
163;30/12/2011;14:00;4,78;;N;
164;31/12/2011;10:00;4,77;;N;
165;01/01/2012;16:00;4,67;;N;
166;02/01/2012;23:00;4,60;;N;
167;03/01/2012;11:00;4,61;;N;
168;04/01/2012;11:00;4,65;;N;
169;05/01/2012;11:00;4,67;;N;
170;06/01/2012;10:00;4,70;;N;
171;07/01/2012;11:00;4,72;;N;
172;08/01/2012;16:00;4,75;;N;
173;09/01/2012;09:00;4,77;;N;
174;10/01/2012;11:00;4,77;;N;
175;11/01/2012;11:00;4,79;;N;
176;12/01/2012;11:00;4,82;;N;
177;13/01/2012;02:00;4,83;;N;
178;14/01/2012;12:00;4,45;;N;
179;15/01/2012;13:00;4,16;;N;
180;16/01/2012;07:00;4,17;;N;
181;17/01/2012;10:00;4,18;;N;
182;18/01/2012;08:00;4,19;;N;
183;19/01/2012;08:00;4,19;;N;
184;20/01/2012;07:00;4,20;;N;
185;21/01/2012;11:00;4,20;;N;
186;22/01/2012;11:00;4,29;;N;
187;23/01/2012;10:00;4,31;;N;
188;24/01/2012;11:00;4,32;;N;
189;25/01/2012;17:00;4,33;;N;
190;26/01/2012;11:00;4,34;;N;
191;27/01/2012;16:00;4,34;;N;
192;28/01/2012;11:00;4,36;;N;
193;29/01/2012;11:00;4,38;;N;
194;30/01/2012;11:00;4,41;;N;
195;31/01/2012;11:00;4,44;;N;
196;01/02/2012;11:00;4,47;;N;
197;02/02/2012;13:00;4,50;;N;
198;03/02/2012;09:00;4,54;;N;
199;04/02/2012;18:00;4,54;;N;
200;05/02/2012;11:00;4,55;;N;
201;06/02/2012;17:00;4,56;;N;
202;07/02/2012;04:00;4,58;;N;
203;08/02/2012;11:00;4,60;;N;
204;09/02/2012;11:00;4,62;;N;
205;10/02/2012;11:00;4,63;;N;
206;11/02/2012;18:00;4,63;;N;
207;12/02/2012;11:00;4,65;;N;
208;13/02/2012;11:00;4,68;;N;
209;14/02/2012;02:00;4,70;;N;
210;15/02/2012;11:00;4,64;;N;
211;16/02/2012;12:00;4,60;;N;
212;17/02/2012;11:00;4,60;;N;
213;18/02/2012;16:00;4,61;;N;
214;19/02/2012;08:00;4,64;;N;
215;20/02/2012;11:00;4,65;;N;
216;21/02/2012;11:00;4,67;;N;
217;22/02/2012;14:00;4,68;;N;
218;23/02/2012;11:00;4,69;;N;
219;24/02/2012;14:00;4,70;;N;
220;25/02/2012;07:00;4,70;;N;
221;26/02/2012;13:00;4,40;;N;
222;27/02/2012;12:00;4,30;;N;
223;28/02/2012;12:00;4,10;;N;
224;29/02/2012;14:00;3,98;;N;
