# Processado em: 2025-03-10T18:25:57.120081
,data_da_medicao,niveldagua_m,date,tempo_s
0,20/07/2011,3.85,2011-07-20,364435200.0
1,21/07/2011,3.76,2011-07-21,364521600.0
2,22/07/2011,3.61,2011-07-22,364608000.0
3,23/07/2011,3.63,2011-07-23,364694400.0
4,24/07/2011,3.64,2011-07-24,364780800.0
5,25/07/2011,3.66,2011-07-25,364867200.0
6,26/07/2011,3.66,2011-07-26,364953600.0
7,27/07/2011,3.67,2011-07-27,365040000.0
8,28/07/2011,3.67,2011-07-28,365126400.0
9,29/07/2011,3.69,2011-07-29,365212800.0
10,30/07/2011,3.63,2011-07-30,365299200.0
11,31/07/2011,3.56,2011-07-31,365385600.0
12,01/08/2011,3.23,2011-08-01,365472000.0
13,02/08/2011,3.04,2011-08-02,365558400.0
14,03/08/2011,3.1,2011-08-03,365644800.0
15,04/08/2011,3.16,2011-08-04,365731200.0
16,05/08/2011,3.2,2011-08-05,365817600.0
17,06/08/2011,3.23,2011-08-06,365904000.0
18,07/08/2011,3.26,2011-08-07,365990400.0
19,08/08/2011,3.27,2011-08-08,366076800.0
20,09/08/2011,3.18,2011-08-09,366163200.0
21,10/08/2011,3.1,2011-08-10,366249600.0
22,11/08/2011,3.13,2011-08-11,366336000.0
23,12/08/2011,3.17,2011-08-12,366422400.0
24,13/08/2011,3.2,2011-08-13,366508800.0
25,14/08/2011,3.22,2011-08-14,366595200.0
26,15/08/2011,3.25,2011-08-15,366681600.0
27,16/08/2011,3.27,2011-08-16,366768000.0
28,17/08/2011,3.3,2011-08-17,366854400.0
29,18/08/2011,3.32,2011-08-18,366940800.0
30,19/08/2011,3.12,2011-08-19,367027200.0
31,20/08/2011,2.99,2011-08-20,367113600.0
32,21/08/2011,3.03,2011-08-21,367200000.0
33,22/08/2011,3.07,2011-08-22,367286400.0
34,23/08/2011,2.86,2011-08-23,367372800.0
35,24/08/2011,2.87,2011-08-24,367459200.0
36,25/08/2011,2.9,2011-08-25,367545600.0
37,26/08/2011,2.95,2011-08-26,367632000.0
38,27/08/2011,3.01,2011-08-27,367718400.0
39,28/08/2011,3.03,2011-08-28,367804800.0
40,29/08/2011,3.05,2011-08-29,367891200.0
41,30/08/2011,3.06,2011-08-30,367977600.0
42,31/08/2011,2.95,2011-08-31,368064000.0
43,01/09/2011,2.97,2011-09-01,368150400.0
44,02/09/2011,2.99,2011-09-02,368236800.0
45,03/09/2011,3.01,2011-09-03,368323200.0
46,04/09/2011,3.04,2011-09-04,368409600.0
47,05/09/2011,3.07,2011-09-05,368496000.0
48,06/09/2011,3.13,2011-09-06,368582400.0
49,07/09/2011,3.03,2011-09-07,368668800.0
50,08/09/2011,2.83,2011-09-08,368755200.0
51,09/09/2011,2.65,2011-09-09,368841600.0
52,10/09/2011,2.71,2011-09-10,368928000.0
53,11/09/2011,2.76,2011-09-11,369014400.0
54,12/09/2011,2.8,2011-09-12,369100800.0
55,13/09/2011,2.83,2011-09-13,369187200.0
56,14/09/2011,2.91,2011-09-14,369273600.0
57,15/09/2011,2.95,2011-09-15,369360000.0
58,16/09/2011,2.97,2011-09-16,369446400.0
59,17/09/2011,3.05,2011-09-17,369532800.0
60,18/09/2011,3.09,2011-09-18,369619200.0
61,19/09/2011,3.11,2011-09-19,369705600.0
62,20/09/2011,3.15,2011-09-20,369792000.0
63,21/09/2011,3.3,2011-09-21,369878400.0
64,22/09/2011,3.34,2011-09-22,369964800.0
65,23/09/2011,3.37,2011-09-23,370051200.0
66,24/09/2011,3.42,2011-09-24,370137600.0
67,25/09/2011,3.46,2011-09-25,370224000.0
68,26/09/2011,3.49,2011-09-26,370310400.0
69,27/09/2011,3.53,2011-09-27,370396800.0
70,28/09/2011,3.58,2011-09-28,370483200.0
71,29/09/2011,3.63,2011-09-29,370569600.0
72,30/09/2011,3.67,2011-09-30,370656000.0
73,01/10/2011,3.7,2011-10-01,370742400.0
74,02/10/2011,3.75,2011-10-02,370828800.0
75,03/10/2011,3.8,2011-10-03,370915200.0
76,04/10/2011,3.85,2011-10-04,371001600.0
77,05/10/2011,3.88,2011-10-05,371088000.0
78,06/10/2011,3.92,2011-10-06,371174400.0
79,07/10/2011,3.96,2011-10-07,371260800.0
80,08/10/2011,3.98,2011-10-08,371347200.0
81,09/10/2011,3.98,2011-10-09,371433600.0
82,10/10/2011,3.89,2011-10-10,371520000.0
83,11/10/2011,3.93,2011-10-11,371606400.0
84,12/10/2011,3.95,2011-10-12,371692800.0
85,13/10/2011,3.9,2011-10-13,371779200.0
86,14/10/2011,3.53,2011-10-14,371865600.0
87,15/10/2011,3.57,2011-10-15,371952000.0
88,16/10/2011,3.55,2011-10-16,372038400.0
89,17/10/2011,3.54,2011-10-17,372124800.0
90,18/10/2011,3.57,2011-10-18,372211200.0
91,19/10/2011,3.59,2011-10-19,372297600.0
92,20/10/2011,3.59,2011-10-20,372384000.0
93,21/10/2011,3.6,2011-10-21,372470400.0
94,22/10/2011,3.61,2011-10-22,372556800.0
95,23/10/2011,3.63,2011-10-23,372643200.0
96,24/10/2011,3.66,2011-10-24,372729600.0
97,25/10/2011,3.67,2011-10-25,372816000.0
98,26/10/2011,3.7,2011-10-26,372902400.0
99,27/10/2011,3.74,2011-10-27,372988800.0
100,28/10/2011,3.78,2011-10-28,373075200.0
101,29/10/2011,3.8,2011-10-29,373161600.0
102,30/10/2011,3.57,2011-10-30,373248000.0
103,31/10/2011,3.61,2011-10-31,373334400.0
104,01/11/2011,3.65,2011-11-01,373420800.0
105,02/11/2011,3.67,2011-11-02,373507200.0
106,03/11/2011,3.7,2011-11-03,373593600.0
107,04/11/2011,3.72,2011-11-04,373680000.0
108,05/11/2011,3.76,2011-11-05,373766400.0
109,06/11/2011,3.8,2011-11-06,373852800.0
110,07/11/2011,3.83,2011-11-07,373939200.0
111,08/11/2011,3.85,2011-11-08,374025600.0
112,09/11/2011,3.89,2011-11-09,374112000.0
113,10/11/2011,3.93,2011-11-10,374198400.0
114,11/11/2011,3.97,2011-11-11,374284800.0
115,12/11/2011,3.99,2011-11-12,374371200.0
116,13/11/2011,4.01,2011-11-13,374457600.0
117,14/11/2011,3.97,2011-11-14,374544000.0
118,15/11/2011,3.95,2011-11-15,374630400.0
119,16/11/2011,3.88,2011-11-16,374716800.0
120,17/11/2011,3.89,2011-11-17,374803200.0
121,18/11/2011,3.93,2011-11-18,374889600.0
122,19/11/2011,3.96,2011-11-19,374976000.0
123,20/11/2011,3.99,2011-11-20,375062400.0
124,21/11/2011,4.01,2011-11-21,375148800.0
125,22/11/2011,3.97,2011-11-22,375235200.0
126,23/11/2011,3.93,2011-11-23,375321600.0
127,24/11/2011,3.95,2011-11-24,375408000.0
128,25/11/2011,3.97,2011-11-25,375494400.0
129,26/11/2011,4.0,2011-11-26,375580800.0
130,27/11/2011,4.03,2011-11-27,375667200.0
131,28/11/2011,4.06,2011-11-28,375753600.0
132,29/11/2011,4.08,2011-11-29,375840000.0
133,30/11/2011,4.1,2011-11-30,375926400.0
134,01/12/2011,4.15,2011-12-01,376012800.0
135,02/12/2011,4.19,2011-12-02,376099200.0
136,03/12/2011,4.21,2011-12-03,376185600.0
137,04/12/2011,4.25,2011-12-04,376272000.0
