# Processado em: 2025-03-10T17:53:13.401962
,data_da_medicao,niveldagua_m,date,tempo_s
0,18/05/2015,20.81,2015-05-18,485222400.0
1,19/05/2015,20.81,2015-05-19,485308800.0
2,20/05/2015,20.81,2015-05-20,485395200.0
3,21/05/2015,20.81,2015-05-21,485481600.0
4,22/05/2015,20.81,2015-05-22,485568000.0
5,23/05/2015,20.81,2015-05-23,485654400.0
6,24/05/2015,20.81,2015-05-24,485740800.0
7,25/05/2015,20.81,2015-05-25,485827200.0
8,26/05/2015,20.81,2015-05-26,485913600.0
9,27/05/2015,20.82,2015-05-27,486000000.0
10,28/05/2015,20.82,2015-05-28,486086400.0
11,29/05/2015,20.82,2015-05-29,486172800.0
12,30/05/2015,20.82,2015-05-30,486259200.0
13,31/05/2015,20.83,2015-05-31,486345600.0
14,01/06/2015,20.83,2015-06-01,486432000.0
15,02/06/2015,20.83,2015-06-02,486518400.0
16,03/06/2015,20.83,2015-06-03,486604800.0
17,04/06/2015,20.84,2015-06-04,486691200.0
18,05/06/2015,20.84,2015-06-05,486777600.0
19,06/06/2015,20.84,2015-06-06,486864000.0
20,07/06/2015,20.84,2015-06-07,486950400.0
21,08/06/2015,20.84,2015-06-08,487036800.0
22,09/06/2015,20.84,2015-06-09,487123200.0
23,10/06/2015,20.85,2015-06-10,487209600.0
24,11/06/2015,20.85,2015-06-11,487296000.0
25,12/06/2015,20.85,2015-06-12,487382400.0
26,13/06/2015,20.85,2015-06-13,487468800.0
27,14/06/2015,20.85,2015-06-14,487555200.0
28,15/06/2015,20.86,2015-06-15,487641600.0
29,16/06/2015,20.85,2015-06-16,487728000.0
30,17/06/2015,20.86,2015-06-17,487814400.0
31,18/06/2015,20.86,2015-06-18,487900800.0
32,19/06/2015,20.87,2015-06-19,487987200.0
33,20/06/2015,20.87,2015-06-20,488073600.0
34,21/06/2015,20.87,2015-06-21,488160000.0
35,22/06/2015,20.87,2015-06-22,488246400.0
36,23/06/2015,20.87,2015-06-23,488332800.0
37,24/06/2015,20.88,2015-06-24,488419200.0
38,25/06/2015,20.88,2015-06-25,488505600.0
39,26/06/2015,20.88,2015-06-26,488592000.0
40,27/06/2015,20.88,2015-06-27,488678400.0
41,28/06/2015,20.88,2015-06-28,488764800.0
42,29/06/2015,20.88,2015-06-29,488851200.0
43,30/06/2015,20.88,2015-06-30,488937600.0
44,01/07/2015,20.89,2015-07-01,489024000.0
45,02/07/2015,20.88,2015-07-02,489110400.0
46,03/07/2015,20.88,2015-07-03,489196800.0
47,04/07/2015,20.89,2015-07-04,489283200.0
48,05/07/2015,20.89,2015-07-05,489369600.0
49,06/07/2015,20.89,2015-07-06,489456000.0
50,07/07/2015,20.89,2015-07-07,489542400.0
51,08/07/2015,20.9,2015-07-08,489628800.0
52,09/07/2015,20.9,2015-07-09,489715200.0
53,10/07/2015,20.9,2015-07-10,489801600.0
54,11/07/2015,20.9,2015-07-11,489888000.0
55,12/07/2015,20.9,2015-07-12,489974400.0
56,13/07/2015,20.91,2015-07-13,490060800.0
57,14/07/2015,20.91,2015-07-14,490147200.0
58,15/07/2015,20.91,2015-07-15,490233600.0
59,16/07/2015,20.91,2015-07-16,490320000.0
60,17/07/2015,20.92,2015-07-17,490406400.0
61,18/07/2015,20.92,2015-07-18,490492800.0
62,19/07/2015,20.92,2015-07-19,490579200.0
63,20/07/2015,20.92,2015-07-20,490665600.0
64,21/07/2015,20.92,2015-07-21,490752000.0
65,22/07/2015,20.93,2015-07-22,490838400.0
66,23/07/2015,20.93,2015-07-23,490924800.0
67,24/07/2015,20.92,2015-07-24,491011200.0
68,25/07/2015,20.93,2015-07-25,491097600.0
69,26/07/2015,20.93,2015-07-26,491184000.0
70,27/07/2015,20.93,2015-07-27,491270400.0
71,28/07/2015,20.93,2015-07-28,491356800.0
72,29/07/2015,20.94,2015-07-29,491443200.0
73,30/07/2015,20.94,2015-07-30,491529600.0
74,31/07/2015,20.94,2015-07-31,491616000.0
75,01/08/2015,20.94,2015-08-01,491702400.0
76,02/08/2015,20.94,2015-08-02,491788800.0
77,03/08/2015,20.94,2015-08-03,491875200.0
78,04/08/2015,20.95,2015-08-04,491961600.0
79,05/08/2015,20.95,2015-08-05,492048000.0
80,06/08/2015,20.95,2015-08-06,492134400.0
81,07/08/2015,20.95,2015-08-07,492220800.0
82,08/08/2015,20.95,2015-08-08,492307200.0
83,09/08/2015,20.96,2015-08-09,492393600.0
84,10/08/2015,20.96,2015-08-10,492480000.0
85,11/08/2015,20.96,2015-08-11,492566400.0
86,12/08/2015,20.96,2015-08-12,492652800.0
87,13/08/2015,20.97,2015-08-13,492739200.0
88,14/08/2015,20.97,2015-08-14,492825600.0
89,15/08/2015,20.97,2015-08-15,492912000.0
90,16/08/2015,20.97,2015-08-16,492998400.0
91,17/08/2015,20.97,2015-08-17,493084800.0
92,18/08/2015,20.97,2015-08-18,493171200.0
93,19/08/2015,20.97,2015-08-19,493257600.0
94,20/08/2015,20.98,2015-08-20,493344000.0
95,21/08/2015,20.98,2015-08-21,493430400.0
96,22/08/2015,20.98,2015-08-22,493516800.0
97,23/08/2015,20.98,2015-08-23,493603200.0
98,24/08/2015,20.98,2015-08-24,493689600.0
99,25/08/2015,20.98,2015-08-25,493776000.0
100,26/08/2015,20.98,2015-08-26,493862400.0
101,27/08/2015,20.99,2015-08-27,493948800.0
102,28/08/2015,20.99,2015-08-28,494035200.0
103,29/08/2015,20.99,2015-08-29,494121600.0
104,30/08/2015,20.99,2015-08-30,494208000.0
105,31/08/2015,21.0,2015-08-31,494294400.0
106,01/09/2015,21.0,2015-09-01,494380800.0
107,02/09/2015,21.0,2015-09-02,494467200.0
108,03/09/2015,21.0,2015-09-03,494553600.0
109,04/09/2015,21.0,2015-09-04,494640000.0
110,05/09/2015,21.01,2015-09-05,494726400.0
111,06/09/2015,21.0,2015-09-06,494812800.0
112,07/09/2015,21.0,2015-09-07,494899200.0
113,08/09/2015,21.01,2015-09-08,494985600.0
114,09/09/2015,21.01,2015-09-09,495072000.0
115,10/09/2015,21.01,2015-09-10,495158400.0
116,11/09/2015,21.02,2015-09-11,495244800.0
117,12/09/2015,21.02,2015-09-12,495331200.0
118,13/09/2015,21.02,2015-09-13,495417600.0
119,14/09/2015,21.02,2015-09-14,495504000.0
120,15/09/2015,21.02,2015-09-15,495590400.0
121,16/09/2015,21.02,2015-09-16,495676800.0
122,17/09/2015,21.02,2015-09-17,495763200.0
123,18/09/2015,21.02,2015-09-18,495849600.0
124,19/09/2015,21.03,2015-09-19,495936000.0
125,20/09/2015,21.03,2015-09-20,496022400.0
126,21/09/2015,21.03,2015-09-21,496108800.0
127,22/09/2015,21.03,2015-09-22,496195200.0
128,23/09/2015,21.03,2015-09-23,496281600.0
129,24/09/2015,21.03,2015-09-24,496368000.0
130,25/09/2015,21.03,2015-09-25,496454400.0
131,26/09/2015,21.04,2015-09-26,496540800.0
132,27/09/2015,21.03,2015-09-27,496627200.0
133,28/09/2015,21.04,2015-09-28,496713600.0
134,29/09/2015,21.04,2015-09-29,496800000.0
135,30/09/2015,21.04,2015-09-30,496886400.0
136,01/10/2015,21.04,2015-10-01,496972800.0
137,02/10/2015,21.04,2015-10-02,497059200.0
138,03/10/2015,21.05,2015-10-03,497145600.0
139,04/10/2015,21.05,2015-10-04,497232000.0
140,05/10/2015,21.05,2015-10-05,497318400.0
141,06/10/2015,21.05,2015-10-06,497404800.0
142,07/10/2015,21.05,2015-10-07,497491200.0
143,08/10/2015,21.05,2015-10-08,497577600.0
144,09/10/2015,21.06,2015-10-09,497664000.0
145,10/10/2015,21.06,2015-10-10,497750400.0
146,11/10/2015,21.06,2015-10-11,497836800.0
147,12/10/2015,21.06,2015-10-12,497923200.0
148,13/10/2015,21.06,2015-10-13,498009600.0
149,14/10/2015,21.07,2015-10-14,498096000.0
150,15/10/2015,21.07,2015-10-15,498182400.0
151,16/10/2015,21.07,2015-10-16,498268800.0
152,17/10/2015,21.07,2015-10-17,498355200.0
153,18/10/2015,21.08,2015-10-18,498441600.0
154,19/10/2015,21.08,2015-10-19,498528000.0
155,20/10/2015,21.08,2015-10-20,498614400.0
156,21/10/2015,21.08,2015-10-21,498700800.0
157,22/10/2015,21.08,2015-10-22,498787200.0
158,23/10/2015,21.09,2015-10-23,498873600.0
159,24/10/2015,21.08,2015-10-24,498960000.0
160,25/10/2015,21.09,2015-10-25,499046400.0
161,26/10/2015,21.09,2015-10-26,499132800.0
162,27/10/2015,21.09,2015-10-27,499219200.0
163,28/10/2015,21.09,2015-10-28,499305600.0
164,29/10/2015,21.1,2015-10-29,499392000.0
165,30/10/2015,21.09,2015-10-30,499478400.0
166,31/10/2015,21.1,2015-10-31,499564800.0
167,01/11/2015,21.1,2015-11-01,499651200.0
168,02/11/2015,21.1,2015-11-02,499737600.0
169,03/11/2015,21.1,2015-11-03,499824000.0
170,04/11/2015,21.11,2015-11-04,499910400.0
171,05/11/2015,21.11,2015-11-05,499996800.0
172,06/11/2015,21.1,2015-11-06,500083200.0
173,07/11/2015,21.11,2015-11-07,500169600.0
174,08/11/2015,21.11,2015-11-08,500256000.0
175,09/11/2015,21.12,2015-11-09,500342400.0
176,10/11/2015,21.11,2015-11-10,500428800.0
177,11/11/2015,21.11,2015-11-11,500515200.0
178,12/11/2015,21.11,2015-11-12,500601600.0
179,13/11/2015,21.12,2015-11-13,500688000.0
180,14/11/2015,21.12,2015-11-14,500774400.0
181,15/11/2015,21.12,2015-11-15,500860800.0
182,16/11/2015,21.12,2015-11-16,500947200.0
183,17/11/2015,21.12,2015-11-17,501033600.0
184,18/11/2015,21.12,2015-11-18,501120000.0
185,19/11/2015,21.12,2015-11-19,501206400.0
186,20/11/2015,21.13,2015-11-20,501292800.0
187,21/11/2015,21.13,2015-11-21,501379200.0
188,22/11/2015,21.13,2015-11-22,501465600.0
189,23/11/2015,21.13,2015-11-23,501552000.0
190,24/11/2015,21.13,2015-11-24,501638400.0
191,25/11/2015,21.14,2015-11-25,501724800.0
192,26/11/2015,21.14,2015-11-26,501811200.0
193,27/11/2015,21.13,2015-11-27,501897600.0
194,28/11/2015,21.14,2015-11-28,501984000.0
195,29/11/2015,21.15,2015-11-29,502070400.0
196,30/11/2015,21.14,2015-11-30,502156800.0
197,01/12/2015,21.15,2015-12-01,502243200.0
198,02/12/2015,21.15,2015-12-02,502329600.0
199,03/12/2015,21.15,2015-12-03,502416000.0
200,04/12/2015,21.14,2015-12-04,502502400.0
201,05/12/2015,21.15,2015-12-05,502588800.0
202,06/12/2015,21.15,2015-12-06,502675200.0
203,07/12/2015,21.15,2015-12-07,502761600.0
204,08/12/2015,21.16,2015-12-08,502848000.0
205,09/12/2015,21.15,2015-12-09,502934400.0
206,10/12/2015,21.16,2015-12-10,503020800.0
207,11/12/2015,21.16,2015-12-11,503107200.0
208,12/12/2015,21.16,2015-12-12,503193600.0
209,13/12/2015,21.16,2015-12-13,503280000.0
210,14/12/2015,21.16,2015-12-14,503366400.0
211,15/12/2015,21.16,2015-12-15,503452800.0
212,16/12/2015,21.16,2015-12-16,503539200.0
213,17/12/2015,21.16,2015-12-17,503625600.0
214,18/12/2015,21.16,2015-12-18,503712000.0
215,19/12/2015,21.17,2015-12-19,503798400.0
216,20/12/2015,21.17,2015-12-20,503884800.0
217,21/12/2015,21.16,2015-12-21,503971200.0
218,22/12/2015,21.17,2015-12-22,504057600.0
219,23/12/2015,21.17,2015-12-23,504144000.0
220,24/12/2015,21.17,2015-12-24,504230400.0
221,25/12/2015,21.17,2015-12-25,504316800.0
222,26/12/2015,21.17,2015-12-26,504403200.0
223,27/12/2015,21.17,2015-12-27,504489600.0
224,28/12/2015,21.17,2015-12-28,504576000.0
225,29/12/2015,21.17,2015-12-29,504662400.0
226,30/12/2015,21.17,2015-12-30,504748800.0
227,31/12/2015,21.16,2015-12-31,504835200.0
228,01/01/2016,21.16,2016-01-01,504921600.0
229,02/01/2016,21.16,2016-01-02,505008000.0
230,03/01/2016,21.16,2016-01-03,505094400.0
231,04/01/2016,21.16,2016-01-04,505180800.0
232,05/01/2016,21.16,2016-01-05,505267200.0
233,06/01/2016,21.16,2016-01-06,505353600.0
234,07/01/2016,21.15,2016-01-07,505440000.0
235,08/01/2016,21.15,2016-01-08,505526400.0
236,09/01/2016,21.15,2016-01-09,505612800.0
237,10/01/2016,21.14,2016-01-10,505699200.0
238,11/01/2016,21.14,2016-01-11,505785600.0
239,12/01/2016,21.12,2016-01-12,505872000.0
240,13/01/2016,21.12,2016-01-13,505958400.0
241,14/01/2016,21.11,2016-01-14,506044800.0
242,15/01/2016,21.1,2016-01-15,506131200.0
243,16/01/2016,21.1,2016-01-16,506217600.0
244,17/01/2016,21.09,2016-01-17,506304000.0
245,18/01/2016,21.08,2016-01-18,506390400.0
246,19/01/2016,21.07,2016-01-19,506476800.0
247,20/01/2016,21.05,2016-01-20,506563200.0
248,21/01/2016,21.04,2016-01-21,506649600.0
249,22/01/2016,21.02,2016-01-22,506736000.0
250,23/01/2016,21.01,2016-01-23,506822400.0
251,24/01/2016,20.99,2016-01-24,506908800.0
252,25/01/2016,20.98,2016-01-25,506995200.0
253,26/01/2016,20.96,2016-01-26,507081600.0
254,27/01/2016,20.95,2016-01-27,507168000.0
255,28/01/2016,20.93,2016-01-28,507254400.0
256,29/01/2016,20.93,2016-01-29,507340800.0
257,30/01/2016,20.91,2016-01-30,507427200.0
258,31/01/2016,20.91,2016-01-31,507513600.0
259,01/02/2016,20.89,2016-02-01,507600000.0
260,02/02/2016,20.88,2016-02-02,507686400.0
261,03/02/2016,20.87,2016-02-03,507772800.0
262,04/02/2016,20.86,2016-02-04,507859200.0
263,05/02/2016,20.85,2016-02-05,507945600.0
264,06/02/2016,20.84,2016-02-06,508032000.0
265,07/02/2016,20.82,2016-02-07,508118400.0
266,08/02/2016,20.81,2016-02-08,508204800.0
267,09/02/2016,20.8,2016-02-09,508291200.0
268,10/02/2016,20.78,2016-02-10,508377600.0
269,11/02/2016,20.76,2016-02-11,508464000.0
270,12/02/2016,20.74,2016-02-12,508550400.0
271,13/02/2016,20.72,2016-02-13,508636800.0
272,14/02/2016,20.71,2016-02-14,508723200.0
273,15/02/2016,20.69,2016-02-15,508809600.0
274,16/02/2016,20.67,2016-02-16,508896000.0
275,17/02/2016,20.65,2016-02-17,508982400.0
276,18/02/2016,20.62,2016-02-18,509068800.0
277,19/02/2016,20.59,2016-02-19,509155200.0
278,20/02/2016,20.57,2016-02-20,509241600.0
279,21/02/2016,20.54,2016-02-21,509328000.0
280,22/02/2016,20.51,2016-02-22,509414400.0
281,23/02/2016,20.47,2016-02-23,509500800.0
282,24/02/2016,20.43,2016-02-24,509587200.0
283,25/02/2016,20.38,2016-02-25,509673600.0
284,26/02/2016,20.33,2016-02-26,509760000.0
285,27/02/2016,20.28,2016-02-27,509846400.0
286,28/02/2016,20.22,2016-02-28,509932800.0
287,29/02/2016,20.15,2016-02-29,510019200.0
288,01/03/2016,20.08,2016-03-01,510105600.0
289,02/03/2016,20.02,2016-03-02,510192000.0
290,03/03/2016,19.96,2016-03-03,510278400.0
291,04/03/2016,19.9,2016-03-04,510364800.0
292,05/03/2016,19.86,2016-03-05,510451200.0
293,06/03/2016,19.81,2016-03-06,510537600.0
294,07/03/2016,19.75,2016-03-07,510624000.0
