
Id Ponto:;3500034023
Consulta em:;06/09/2024 16:24:26
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;01/07/2015;20:00;9,59;;N;
2;02/07/2015;12:00;9,59;;N;
3;03/07/2015;13:00;9,59;;N;
4;04/07/2015;09:00;9,61;;N;
5;05/07/2015;03:00;9,61;;N;
6;06/07/2015;09:00;9,61;;N;
7;07/07/2015;11:00;9,61;;N;
8;08/07/2015;11:00;9,61;;N;
9;09/07/2015;09:00;9,62;;N;
10;10/07/2015;08:00;9,62;;N;
11;11/07/2015;13:00;9,62;;N;
12;12/07/2015;04:00;9,62;;N;
13;13/07/2015;09:00;9,62;;N;
14;14/07/2015;10:00;9,63;;N;
15;15/07/2015;17:00;9,63;;N;
16;16/07/2015;15:00;9,63;;N;
17;17/07/2015;06:00;9,64;;N;
18;18/07/2015;00:00;9,64;;N;
19;19/07/2015;04:00;9,64;;N;
20;20/07/2015;10:00;9,64;;N;
21;21/07/2015;09:00;9,65;;N;
22;22/07/2015;11:00;9,65;;N;
23;23/07/2015;13:00;9,65;;N;
24;24/07/2015;15:00;9,65;;N;
25;25/07/2015;18:00;9,65;;N;
26;26/07/2015;09:00;9,66;;N;
27;27/07/2015;11:00;9,66;;N;
28;28/07/2015;11:00;9,70;;N;
29;29/07/2015;18:00;9,70;;N;
30;30/07/2015;00:00;9,71;;N;
31;31/07/2015;11:00;9,71;;N;
32;01/08/2015;16:00;9,71;;N;
33;02/08/2015;17:00;9,71;;N;
34;03/08/2015;13:00;9,72;;N;
35;04/08/2015;02:00;9,73;;N;
36;05/08/2015;05:00;9,73;;N;
37;06/08/2015;12:00;9,73;;N;
38;07/08/2015;17:00;9,73;;N;
39;08/08/2015;14:00;9,74;;N;
40;09/08/2015;06:00;9,75;;N;
41;10/08/2015;15:00;9,75;;N;
42;11/08/2015;07:00;9,76;;N;
43;12/08/2015;11:00;9,76;;N;
44;13/08/2015;16:00;9,76;;N;
45;14/08/2015;06:00;9,77;;N;
46;15/08/2015;14:00;9,77;;N;
47;16/08/2015;01:00;9,78;;N;
48;17/08/2015;08:00;9,78;;N;
49;18/08/2015;13:00;9,78;;N;
50;19/08/2015;11:00;9,79;;N;
51;20/08/2015;13:00;9,79;;N;
52;21/08/2015;01:00;9,80;;N;
53;22/08/2015;07:00;9,80;;N;
54;23/08/2015;15:00;9,80;;N;
55;24/08/2015;11:00;9,81;;N;
56;25/08/2015;16:00;9,81;;N;
57;26/08/2015;05:00;9,82;;N;
58;27/08/2015;04:00;9,83;;N;
59;28/08/2015;23:00;9,81;;N;
60;29/08/2015;11:00;9,81;;N;
61;30/08/2015;17:00;9,81;;N;
62;31/08/2015;11:00;9,82;;N;
63;01/09/2015;14:00;9,82;;N;
64;02/09/2015;05:00;9,83;;N;
65;03/09/2015;11:00;9,83;;N;
66;04/09/2015;08:00;9,84;;N;
67;05/09/2015;12:00;9,84;;N;
68;06/09/2015;17:00;9,84;;N;
69;07/09/2015;19:00;9,84;;N;
70;08/09/2015;09:00;9,85;;N;
71;09/09/2015;07:00;9,86;;N;
72;10/09/2015;06:00;9,86;;N;
73;11/09/2015;06:00;9,87;;N;
74;12/09/2015;07:00;9,87;;N;
75;13/09/2015;15:00;9,86;;N;
76;14/09/2015;11:00;9,86;;N;
77;15/09/2015;00:00;9,86;;N;
78;16/09/2015;19:00;9,85;;N;
79;17/09/2015;11:00;9,86;;N;
80;18/09/2015;19:00;9,86;;N;
81;19/09/2015;08:00;9,87;;N;
82;20/09/2015;11:00;9,87;;N;
83;21/09/2015;17:00;9,87;;N;
84;22/09/2015;09:00;9,88;;N;
85;23/09/2015;11:00;9,88;;N;
86;24/09/2015;16:00;9,88;;N;
87;25/09/2015;08:00;9,89;;N;
88;26/09/2015;16:00;9,89;;N;
89;27/09/2015;16:00;9,89;;N;
90;28/09/2015;06:00;9,90;;N;
91;29/09/2015;05:00;9,90;;N;
92;29/09/2015;18:00;9,90;;N;
93;30/09/2015;19:00;9,90;;N;
94;01/10/2015;06:00;9,91;;N;
95;02/10/2015;11:00;9,91;;N;
96;03/10/2015;16:00;9,91;;N;
97;04/10/2015;00:00;9,92;;N;
98;05/10/2015;19:00;9,91;;N;
99;06/10/2015;19:00;9,91;;N;
100;07/10/2015;16:00;9,91;;N;
101;08/10/2015;00:00;9,92;;N;
102;09/10/2015;07:00;9,92;;N;
103;10/10/2015;14:00;9,92;;N;
104;11/10/2015;12:00;9,92;;N;
105;12/10/2015;11:00;9,92;;N;
106;13/10/2015;11:00;9,91;;N;
107;14/10/2015;05:00;9,90;;N;
108;15/10/2015;14:00;9,89;;N;
109;16/10/2015;00:00;9,89;;N;
110;17/10/2015;00:00;9,88;;N;
111;18/10/2015;23:00;9,86;;N;
112;19/10/2015;04:00;9,85;;N;
113;20/10/2015;10:00;9,84;;N;
114;21/10/2015;14:00;9,83;;N;
115;22/10/2015;04:00;9,83;;N;
116;23/10/2015;18:00;9,82;;N;
117;24/10/2015;02:00;9,82;;N;
118;25/10/2015;13:00;9,81;;N;
119;26/10/2015;06:00;9,81;;N;
120;27/10/2015;17:00;9,80;;N;
121;28/10/2015;11:00;9,80;;N;
122;29/10/2015;06:00;9,80;;N;
123;30/10/2015;17:00;9,79;;N;
124;31/10/2015;19:00;9,78;;N;
125;01/11/2015;09:00;9,77;;N;
126;02/11/2015;08:00;9,72;;N;
127;03/11/2015;12:00;9,64;;N;
128;04/11/2015;13:00;9,46;;N;
129;05/11/2015;12:00;9,37;;N;
130;06/11/2015;12:00;9,31;;N;
131;07/11/2015;12:00;9,26;;N;
132;08/11/2015;15:00;9,21;;N;
133;09/11/2015;10:00;9,18;;N;
134;10/11/2015;19:00;9,14;;N;
135;11/11/2015;21:00;9,11;;N;
136;12/11/2015;02:00;9,09;;N;
137;13/11/2015;02:00;9,07;;N;
138;14/11/2015;10:00;9,05;;N;
139;15/11/2015;07:00;9,04;;N;
140;16/11/2015;01:00;9,03;;N;
141;17/11/2015;00:00;9,02;;N;
142;18/11/2015;17:00;9,01;;N;
143;19/11/2015;01:00;9,01;;N;
144;20/11/2015;14:00;9,01;;N;
145;21/11/2015;00:00;9,01;;N;
146;22/11/2015;00:00;9,00;;N;
147;23/11/2015;23:00;8,98;;N;
148;24/11/2015;18:00;8,97;;N;
149;25/11/2015;06:00;8,95;;N;
150;25/11/2015;18:00;8,93;;N;
151;26/11/2015;12:00;8,90;;N;
152;27/11/2015;09:00;8,86;;N;
153;28/11/2015;02:00;8,83;;N;
154;29/11/2015;12:00;8,80;;N;
155;30/11/2015;13:00;8,77;;N;
156;01/12/2015;03:00;8,75;;N;
157;02/12/2015;23:00;8,72;;N;
158;03/12/2015;22:00;8,70;;N;
159;04/12/2015;04:00;8,69;;N;
160;05/12/2015;21:00;8,67;;N;
161;06/12/2015;15:00;8,66;;N;
162;07/12/2015;18:00;8,65;;N;
163;08/12/2015;01:00;8,65;;N;
164;09/12/2015;05:00;8,64;;N;
165;10/12/2015;05:00;8,64;;N;
166;11/12/2015;14:00;8,63;;N;
167;12/12/2015;14:00;8,62;;N;
168;13/12/2015;19:00;8,60;;N;
169;14/12/2015;23:00;8,57;;N;
170;15/12/2015;13:00;8,55;;N;
171;16/12/2015;23:00;8,52;;N;
172;17/12/2015;10:00;8,50;;N;
173;18/12/2015;02:00;8,48;;N;
174;19/12/2015;10:00;8,46;;N;
175;20/12/2015;11:00;8,44;;N;
176;21/12/2015;12:00;8,42;;N;
177;22/12/2015;21:00;8,40;;N;
178;23/12/2015;08:00;8,39;;N;
179;24/12/2015;09:00;8,38;;N;
180;25/12/2015;10:00;8,37;;N;
181;26/12/2015;13:00;8,36;;N;
182;27/12/2015;06:00;8,36;;N;
183;28/12/2015;03:00;8,36;;N;
184;29/12/2015;07:00;8,36;;N;
185;30/12/2015;14:00;8,34;;N;
186;31/12/2015;19:00;8,30;;N;
187;01/01/2016;05:00;8,28;;N;
188;02/01/2016;00:00;8,27;;N;
189;03/01/2016;21:00;8,25;;N;
190;04/01/2016;23:00;8,23;;N;
191;05/01/2016;23:00;8,21;;N;
192;06/01/2016;10:00;8,19;;N;
193;07/01/2016;02:00;8,17;;N;
194;08/01/2016;19:00;8,15;;N;
195;09/01/2016;07:00;8,14;;N;
196;10/01/2016;23:00;8,12;;N;
197;11/01/2016;23:00;8,10;;N;
198;12/01/2016;01:00;8,09;;N;
199;13/01/2016;14:00;8,07;;N;
200;14/01/2016;04:00;8,06;;N;
201;15/01/2016;12:00;8,03;;N;
202;16/01/2016;13:00;7,94;;N;
203;17/01/2016;13:00;7,88;;N;
204;18/01/2016;13:00;7,85;;N;
205;19/01/2016;23:00;7,82;;N;
206;20/01/2016;00:00;7,81;;N;
207;21/01/2016;00:00;7,79;;N;
208;22/01/2016;21:00;7,77;;N;
209;23/01/2016;19:00;7,76;;N;
210;24/01/2016;11:00;7,75;;N;
211;25/01/2016;14:00;7,75;;N;
212;26/01/2016;08:00;7,75;;N;
213;27/01/2016;00:00;7,76;;N;
214;28/01/2016;14:00;7,76;;N;
215;29/01/2016;05:00;7,77;;N;
216;30/01/2016;07:00;7,78;;N;
217;31/01/2016;11:00;7,79;;N;
218;01/02/2016;17:00;7,80;;N;
