
Id Ponto:;3500034018
Consulta em:;06/09/2024 16:17:26
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;29/05/2015;12:00;30,91;;N;
2;30/05/2015;12:00;30,91;;N;
3;31/05/2015;12:00;30,90;;N;
4;01/06/2015;12:00;30,90;;N;
5;02/06/2015;12:00;30,89;;N;
6;03/06/2015;12:00;30,89;;N;
7;04/06/2015;12:00;30,88;;N;
8;05/06/2015;12:00;30,87;;N;
9;06/06/2015;12:00;30,87;;N;
10;07/06/2015;12:00;30,87;;N;
11;08/06/2015;12:00;30,86;;N;
12;09/06/2015;12:00;30,85;;N;
13;10/06/2015;12:00;30,85;;N;
14;11/06/2015;12:00;30,84;;N;
15;12/06/2015;12:00;30,84;;N;
16;13/06/2015;12:00;30,83;;N;
17;14/06/2015;12:00;30,83;;N;
18;15/06/2015;12:00;30,83;;N;
19;16/06/2015;12:00;30,82;;N;
20;17/06/2015;12:00;30,81;;N;
21;18/06/2015;12:00;30,81;;N;
22;19/06/2015;12:00;30,81;;N;
23;20/06/2015;12:00;30,80;;N;
24;21/06/2015;12:00;30,80;;N;
25;22/06/2015;12:00;30,79;;N;
26;23/06/2015;12:00;30,79;;N;
27;24/06/2015;12:00;30,79;;N;
28;25/06/2015;12:00;30,78;;N;
29;26/06/2015;12:00;30,78;;N;
30;27/06/2015;12:00;30,77;;N;
31;28/06/2015;12:00;30,77;;N;
32;29/06/2015;12:00;30,76;;N;
33;30/06/2015;12:00;30,76;;N;
34;01/07/2015;12:00;30,76;;N;
35;02/07/2015;12:00;30,75;;N;
36;03/07/2015;12:00;30,75;;N;
37;04/07/2015;12:00;30,75;;N;
38;05/07/2015;12:00;30,74;;N;
39;06/07/2015;12:00;30,74;;N;
40;07/07/2015;12:00;30,74;;N;
41;08/07/2015;12:00;30,73;;N;
42;09/07/2015;12:00;30,73;;N;
43;10/07/2015;12:00;30,73;;N;
44;11/07/2015;12:00;30,73;;N;
45;12/07/2015;12:00;30,72;;N;
46;13/07/2015;12:00;30,72;;N;
47;14/07/2015;12:00;30,72;;N;
48;15/07/2015;12:00;30,72;;N;
49;16/07/2015;12:00;30,71;;N;
50;17/07/2015;12:00;30,71;;N;
51;18/07/2015;12:00;30,71;;N;
52;19/07/2015;12:00;30,71;;N;
53;20/07/2015;12:00;30,70;;N;
54;21/07/2015;12:00;30,70;;N;
55;22/07/2015;12:00;30,70;;N;
56;23/07/2015;12:00;30,70;;N;
57;24/07/2015;12:00;30,69;;N;
58;25/07/2015;12:00;30,69;;N;
59;26/07/2015;12:00;30,69;;N;
60;27/07/2015;12:00;30,69;;N;
61;28/07/2015;12:00;30,68;;N;
62;29/07/2015;12:00;30,68;;N;
63;30/07/2015;12:00;30,68;;N;
64;31/07/2015;12:00;30,67;;N;
65;01/08/2015;12:00;30,67;;N;
66;02/08/2015;12:00;30,67;;N;
67;03/08/2015;12:00;30,67;;N;
68;04/08/2015;12:00;30,67;;N;
69;05/08/2015;12:00;30,66;;N;
70;06/08/2015;12:00;30,66;;N;
71;07/08/2015;12:00;30,66;;N;
72;08/08/2015;12:00;30,66;;N;
73;09/08/2015;12:00;30,66;;N;
74;10/08/2015;12:00;30,66;;N;
75;11/08/2015;12:00;30,66;;N;
76;12/08/2015;12:00;30,66;;N;
77;13/08/2015;12:00;30,66;;N;
78;14/08/2015;12:00;30,65;;N;
79;15/08/2015;12:00;30,66;;N;
80;16/08/2015;12:00;30,65;;N;
81;17/08/2015;12:00;30,65;;N;
82;18/08/2015;12:00;30,65;;N;
83;19/08/2015;12:00;30,65;;N;
84;20/08/2015;12:00;30,65;;N;
85;21/08/2015;12:00;30,65;;N;
86;22/08/2015;12:00;30,65;;N;
87;23/08/2015;12:00;30,65;;N;
88;24/08/2015;12:00;30,65;;N;
89;25/08/2015;12:00;30,65;;N;
90;26/08/2015;12:00;30,65;;N;
91;27/08/2015;12:00;30,66;;N;
92;28/08/2015;12:00;30,65;;N;
93;29/08/2015;12:00;30,65;;N;
94;30/08/2015;12:00;30,65;;N;
95;31/08/2015;12:00;30,65;;N;
96;01/09/2015;12:00;30,65;;N;
97;02/09/2015;12:00;30,65;;N;
98;03/09/2015;12:00;30,66;;N;
99;04/09/2015;12:00;30,66;;N;
100;05/09/2015;12:00;30,66;;N;
101;06/09/2015;12:00;30,66;;N;
102;07/09/2015;12:00;30,66;;N;
103;08/09/2015;12:00;30,66;;N;
104;09/09/2015;12:00;30,67;;N;
105;10/09/2015;12:00;30,67;;N;
106;11/09/2015;12:00;30,67;;N;
107;12/09/2015;12:00;30,68;;N;
108;13/09/2015;12:00;30,67;;N;
109;14/09/2015;12:00;30,67;;N;
110;15/09/2015;12:00;30,67;;N;
111;16/09/2015;12:00;30,67;;N;
112;17/09/2015;12:00;30,66;;N;
113;18/09/2015;12:00;30,66;;N;
114;19/09/2015;12:00;30,66;;N;
115;20/09/2015;12:00;30,66;;N;
116;21/09/2015;12:00;30,66;;N;
117;22/09/2015;12:00;30,66;;N;
118;23/09/2015;12:00;30,66;;N;
119;24/09/2015;12:00;30,67;;N;
120;25/09/2015;12:00;30,67;;N;
121;26/09/2015;12:00;30,67;;N;
122;27/09/2015;12:00;30,67;;N;
123;28/09/2015;12:00;30,67;;N;
124;29/09/2015;12:00;30,67;;N;
125;30/09/2015;12:00;30,67;;N;
126;01/10/2015;12:00;30,67;;N;
127;02/10/2015;12:00;30,67;;N;
128;03/10/2015;12:00;30,67;;N;
129;04/10/2015;12:00;30,67;;N;
130;05/10/2015;12:00;30,68;;N;
131;06/10/2015;12:00;30,67;;N;
132;07/10/2015;12:00;30,67;;N;
133;08/10/2015;12:00;30,67;;N;
134;09/10/2015;12:00;30,68;;N;
135;10/10/2015;12:00;30,68;;N;
136;11/10/2015;12:00;30,68;;N;
137;12/10/2015;12:00;30,68;;N;
138;13/10/2015;12:00;30,68;;N;
139;14/10/2015;12:00;30,67;;N;
140;15/10/2015;12:00;30,68;;N;
141;16/10/2015;12:00;30,68;;N;
142;17/10/2015;12:00;30,68;;N;
143;18/10/2015;12:00;30,68;;N;
144;19/10/2015;12:00;30,68;;N;
145;20/10/2015;12:00;30,67;;N;
146;21/10/2015;12:00;30,68;;N;
147;22/10/2015;12:00;30,68;;N;
148;23/10/2015;12:00;30,68;;N;
149;24/10/2015;12:00;30,68;;N;
150;25/10/2015;12:00;30,68;;N;
151;26/10/2015;12:00;30,68;;N;
152;27/10/2015;12:00;30,68;;N;
153;28/10/2015;12:00;30,68;;N;
154;29/10/2015;12:00;30,68;;N;
155;30/10/2015;12:00;30,68;;N;
156;31/10/2015;12:00;30,68;;N;
157;01/11/2015;12:00;30,68;;N;
158;02/11/2015;12:00;30,68;;N;
159;03/11/2015;12:00;30,69;;N;
160;04/11/2015;12:00;30,69;;N;
161;05/11/2015;12:00;30,69;;N;
162;06/11/2015;12:00;30,69;;N;
163;07/11/2015;12:00;30,69;;N;
164;08/11/2015;12:00;30,69;;N;
165;09/11/2015;12:00;30,69;;N;
166;10/11/2015;12:00;30,68;;N;
167;11/11/2015;12:00;30,69;;N;
168;12/11/2015;12:00;30,67;;N;
169;13/11/2015;12:00;30,68;;N;
170;14/11/2015;12:00;30,68;;N;
171;15/11/2015;12:00;30,67;;N;
172;16/11/2015;12:00;30,67;;N;
173;17/11/2015;12:00;30,67;;N;
174;18/11/2015;12:00;30,67;;N;
175;19/11/2015;12:00;30,67;;N;
176;20/11/2015;12:00;30,67;;N;
177;21/11/2015;12:00;30,67;;N;
178;22/11/2015;12:00;30,67;;N;
179;23/11/2015;12:00;30,66;;N;
180;24/11/2015;12:00;30,66;;N;
181;25/11/2015;12:00;30,66;;N;
182;26/11/2015;12:00;30,65;;N;
183;27/11/2015;12:00;30,65;;N;
