
Id Ponto:;3100020112
Consulta em:;06/09/2024 13:18:10
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;15/06/2011;15:00;5,71;;;
2;16/06/2011;16:00;5,71;;;
3;17/06/2011;16:00;5,72;;;
4;18/06/2011;11:00;5,73;;;
5;19/06/2011;10:00;5,74;;;
6;20/06/2011;10:00;5,75;;;
7;21/06/2011;7:00;5,77;;;
8;22/06/2011;17:00;5,78;;;
9;23/06/2011;7:00;5,79;;;
10;24/06/2011;8:00;5,80;;;
11;25/06/2011;8:00;5,81;;;
12;26/06/2011;11:00;5,83;;;
13;27/06/2011;14:00;5,84;;;
14;28/06/2011;9:00;5,85;;;
15;29/06/2011;9:00;5,87;;;
16;30/06/2011;8:00;5,88;;;
17;01/07/2011;15:00;5,90;;;
18;02/07/2011;9:00;5,92;;;
19;03/07/2011;14:00;5,93;;;
20;04/07/2011;8:00;5,94;;;
21;05/07/2011;15:00;5,95;;;
22;06/07/2011;9:00;5,96;;;
23;07/07/2011;16:00;5,98;;;
24;08/07/2011;18:00;5,99;;;
25;09/07/2011;16:00;6,00;;;
26;10/07/2011;8:00;6,01;;;
27;11/07/2011;7:00;6,02;;;
28;12/07/2011;10:00;6,03;;;
29;13/07/2011;11:00;6,04;;;
30;14/07/2011;8:00;6,05;;;
31;15/07/2011;17:00;6,06;;;
32;16/07/2011;9:00;6,07;;;
33;17/07/2011;18:00;6,08;;;
34;18/07/2011;12:00;6,09;;;
35;19/07/2011;9:00;6,10;;;
36;20/07/2011;1:00;6,10;;;
37;21/07/2011;6:00;6,09;;;
38;22/07/2011;3:00;6,08;;;
39;23/07/2011;17:00;6,07;;;
40;24/07/2011;11:00;6,07;;;
41;25/07/2011;4:00;6,07;;;
42;26/07/2011;2:00;6,06;;;
43;27/07/2011;19:00;6,05;;;
44;28/07/2011;12:00;6,05;;;
45;29/07/2011;23:00;6,04;;;
46;30/07/2011;6:00;6,04;;;
47;31/07/2011;7:00;6,05;;;
48;01/08/2011;14:00;6,05;;;
49;02/08/2011;18:00;6,06;;;
50;03/08/2011;19:00;6,06;;;
51;04/08/2011;14:00;6,05;;;
52;05/08/2011;19:00;6,05;;;
53;06/08/2011;5:00;6,05;;;
54;07/08/2011;10:00;6,06;;;
55;08/08/2011;14:00;6,08;;;
