# Processado em: 2025-03-10T17:00:42.972991
,data_da_medicao,niveldagua_m,date,tempo_s
0,22/08/2012,44.2,2012-08-22,398908800.0
1,23/08/2012,44.19,2012-08-23,398995200.0
2,24/08/2012,44.19,2012-08-24,399081600.0
3,25/08/2012,44.2,2012-08-25,399168000.0
4,26/08/2012,44.21,2012-08-26,399254400.0
5,27/08/2012,44.24,2012-08-27,399340800.0
6,28/08/2012,44.25,2012-08-28,399427200.0
7,29/08/2012,44.22,2012-08-29,399513600.0
8,30/08/2012,44.23,2012-08-30,399600000.0
9,31/08/2012,44.22,2012-08-31,399686400.0
10,01/09/2012,44.18,2012-09-01,399772800.0
11,02/09/2012,44.18,2012-09-02,399859200.0
12,03/09/2012,44.2,2012-09-03,399945600.0
13,04/09/2012,44.24,2012-09-04,400032000.0
14,05/09/2012,44.21,2012-09-05,400118400.0
15,06/09/2012,44.16,2012-09-06,400204800.0
16,07/09/2012,44.16,2012-09-07,400291200.0
17,08/09/2012,44.18,2012-09-08,400377600.0
18,09/09/2012,44.19,2012-09-09,400464000.0
19,10/09/2012,44.13,2012-09-10,400550400.0
20,11/09/2012,44.11,2012-09-11,400636800.0
21,12/09/2012,44.12,2012-09-12,400723200.0
22,13/09/2012,44.14,2012-09-13,400809600.0
23,14/09/2012,44.18,2012-09-14,400896000.0
24,15/09/2012,44.17,2012-09-15,400982400.0
25,16/09/2012,44.14,2012-09-16,401068800.0
26,17/09/2012,44.12,2012-09-17,401155200.0
27,18/09/2012,44.09,2012-09-18,401241600.0
28,19/09/2012,44.07,2012-09-19,401328000.0
29,20/09/2012,44.14,2012-09-20,401414400.0
30,21/09/2012,44.12,2012-09-21,401500800.0
31,22/09/2012,44.22,2012-09-22,401587200.0
32,23/09/2012,44.22,2012-09-23,401673600.0
33,24/09/2012,44.14,2012-09-24,401760000.0
34,25/09/2012,44.17,2012-09-25,401846400.0
35,26/09/2012,44.26,2012-09-26,401932800.0
36,27/09/2012,44.31,2012-09-27,402019200.0
37,28/09/2012,44.26,2012-09-28,402105600.0
38,29/09/2012,44.23,2012-09-29,402192000.0
39,30/09/2012,44.16,2012-09-30,402278400.0
40,01/10/2012,44.09,2012-10-01,402364800.0
41,02/10/2012,44.1,2012-10-02,402451200.0
42,03/10/2012,44.11,2012-10-03,402537600.0
43,04/10/2012,44.15,2012-10-04,402624000.0
44,05/10/2012,44.13,2012-10-05,402710400.0
45,06/10/2012,44.11,2012-10-06,402796800.0
46,07/10/2012,44.12,2012-10-07,402883200.0
47,08/10/2012,44.13,2012-10-08,402969600.0
48,09/10/2012,44.1,2012-10-09,403056000.0
49,10/10/2012,44.06,2012-10-10,403142400.0
50,11/10/2012,44.12,2012-10-11,403228800.0
51,12/10/2012,44.21,2012-10-12,403315200.0
52,13/10/2012,44.21,2012-10-13,403401600.0
53,14/10/2012,44.18,2012-10-14,403488000.0
54,15/10/2012,44.13,2012-10-15,403574400.0
55,16/10/2012,44.1,2012-10-16,403660800.0
56,17/10/2012,44.14,2012-10-17,403747200.0
57,18/10/2012,44.13,2012-10-18,403833600.0
58,19/10/2012,44.14,2012-10-19,403920000.0
59,20/10/2012,44.12,2012-10-20,404006400.0
60,21/10/2012,44.08,2012-10-21,404092800.0
61,22/10/2012,44.04,2012-10-22,404179200.0
62,23/10/2012,44.03,2012-10-23,404265600.0
63,24/10/2012,44.15,2012-10-24,404352000.0
64,25/10/2012,44.15,2012-10-25,404438400.0
65,26/10/2012,44.15,2012-10-26,404524800.0
66,27/10/2012,44.17,2012-10-27,404611200.0
67,28/10/2012,44.17,2012-10-28,404697600.0
68,29/10/2012,44.17,2012-10-29,404784000.0
69,30/10/2012,44.13,2012-10-30,404870400.0
70,31/10/2012,44.12,2012-10-31,404956800.0
71,01/11/2012,44.15,2012-11-01,405043200.0
72,02/11/2012,44.18,2012-11-02,405129600.0
73,03/11/2012,44.2,2012-11-03,405216000.0
74,04/11/2012,44.2,2012-11-04,405302400.0
75,05/11/2012,44.17,2012-11-05,405388800.0
76,06/11/2012,44.2,2012-11-06,405475200.0
77,07/11/2012,44.2,2012-11-07,405561600.0
78,08/11/2012,44.17,2012-11-08,405648000.0
79,09/11/2012,44.08,2012-11-09,405734400.0
80,10/11/2012,44.14,2012-11-10,405820800.0
81,11/11/2012,44.17,2012-11-11,405907200.0
82,12/11/2012,44.19,2012-11-12,405993600.0
83,13/11/2012,44.19,2012-11-13,406080000.0
84,14/11/2012,44.23,2012-11-14,406166400.0
85,15/11/2012,44.22,2012-11-15,406252800.0
86,16/11/2012,44.25,2012-11-16,406339200.0
87,17/11/2012,44.31,2012-11-17,406425600.0
88,18/11/2012,44.33,2012-11-18,406512000.0
89,19/11/2012,44.29,2012-11-19,406598400.0
90,20/11/2012,44.26,2012-11-20,406684800.0
91,21/11/2012,44.26,2012-11-21,406771200.0
92,22/11/2012,44.27,2012-11-22,406857600.0
93,23/11/2012,44.26,2012-11-23,406944000.0
94,24/11/2012,44.25,2012-11-24,407030400.0
95,25/11/2012,44.27,2012-11-25,407116800.0
96,26/11/2012,44.31,2012-11-26,407203200.0
97,27/11/2012,44.25,2012-11-27,407289600.0
