
Id Ponto:;5200006103
Consulta em:;06/09/2024 16:57:53
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;30/03/2011;21:00;20,84;;N;
2;31/03/2011;03:00;20,83;;N;
3;01/04/2011;03:00;20,78;;N;
4;02/04/2011;06:00;20,69;;N;
5;03/04/2011;12:00;20,62;;N;
6;04/04/2011;07:00;20,52;;N;
7;05/04/2011;13:00;20,51;;N;
8;06/04/2011;05:00;20,47;;N;
9;07/04/2011;12:00;20,39;;N;
10;08/04/2011;05:00;20,32;;N;
11;09/04/2011;12:00;20,26;;N;
12;10/04/2011;12:00;20,19;;N;
13;11/04/2011;12:00;20,13;;N;
14;12/04/2011;13:00;20,02;;N;
15;13/04/2011;03:00;19,97;;N;
16;14/04/2011;06:00;19,90;;N;
17;15/04/2011;04:00;19,85;;N;
18;16/04/2011;05:00;19,79;;N;
19;17/04/2011;04:00;19,68;;N;
20;18/04/2011;06:00;19,63;;N;
21;19/04/2011;07:00;19,59;;N;
22;20/04/2011;07:00;19,53;;N;
23;21/04/2011;13:00;19,49;;N;
24;22/04/2011;07:00;19,45;;N;
25;23/04/2011;06:00;19,41;;N;
26;24/04/2011;06:00;19,37;;N;
27;25/04/2011;01:00;19,34;;N;
28;26/04/2011;00:00;19,32;;N;
29;27/04/2011;19:00;19,29;;N;
30;28/04/2011;21:00;19,29;;N;
31;29/04/2011;06:00;19,27;;N;
32;30/04/2011;19:00;19,26;;N;
33;01/05/2011;07:00;19,27;;N;
34;02/05/2011;07:00;19,28;;N;
35;03/05/2011;05:00;19,27;;N;
36;04/05/2011;06:00;19,24;;N;
37;05/05/2011;02:00;19,23;;N;
38;06/05/2011;19:00;19,22;;N;
39;07/05/2011;01:00;19,23;;N;
40;08/05/2011;15:00;19,21;;N;
41;09/05/2011;00:00;19,21;;N;
42;10/05/2011;13:00;19,19;;N;
43;11/05/2011;01:00;19,19;;N;
44;12/05/2011;00:00;19,18;;N;
45;13/05/2011;04:00;19,16;;N;
46;14/05/2011;01:00;19,16;;N;
47;15/05/2011;20:00;19,14;;N;
48;16/05/2011;06:00;19,15;;N;
49;17/05/2011;07:00;19,13;;N;
50;18/05/2011;22:00;19,11;;N;
51;19/05/2011;06:00;19,10;;N;
52;20/05/2011;04:00;19,07;;N;
53;21/05/2011;05:00;19,05;;N;
54;22/05/2011;02:00;19,03;;N;
55;23/05/2011;02:00;19,03;;N;
56;24/05/2011;00:00;19,02;;N;
57;25/05/2011;16:00;19,02;;N;
58;26/05/2011;14:00;19,05;;N;
59;27/05/2011;05:00;19,06;;N;
60;28/05/2011;14:00;19,06;;N;
61;29/05/2011;20:00;19,06;;N;
62;30/05/2011;07:00;19,06;;N;
63;31/05/2011;07:00;19,06;;N;
64;01/06/2011;06:00;19,05;;N;
65;02/06/2011;20:00;19,04;;N;
66;03/06/2011;08:00;19,05;;N;
67;04/06/2011;14:00;19,06;;N;
68;05/06/2011;05:00;19,05;;N;
69;06/06/2011;13:00;19,03;;N;
70;07/06/2011;03:00;19,02;;N;
71;08/06/2011;00:00;19,01;;N;
72;09/06/2011;07:00;19,01;;N;
73;10/06/2011;03:00;19,02;;N;
74;11/06/2011;13:00;19,00;;N;
75;12/06/2011;13:00;18,99;;N;
76;13/06/2011;00:00;19,00;;N;
77;14/06/2011;00:00;18,99;;N;
78;15/06/2011;07:00;18,98;;N;
79;16/06/2011;14:00;18,97;;N;
80;17/06/2011;04:00;18,97;;N;
81;18/06/2011;02:00;18,97;;N;
82;19/06/2011;22:00;18,95;;N;
83;20/06/2011;00:00;18,96;;N;
84;21/06/2011;19:00;18,96;;N;
85;22/06/2011;01:00;18,98;;N;
86;23/06/2011;04:00;18,97;;N;
87;24/06/2011;22:00;18,96;;N;
88;25/06/2011;05:00;18,96;;N;
89;26/06/2011;06:00;18,98;;N;
90;27/06/2011;03:00;18,96;;N;
91;28/06/2011;21:00;18,94;;N;
92;29/06/2011;02:00;18,94;;N;
93;30/06/2011;19:00;18,94;;N;
94;01/07/2011;08:00;18,99;;N;
95;02/07/2011;08:00;19,02;;N;
96;03/07/2011;17:00;19,04;;N;
97;04/07/2011;23:00;19,03;;N;
98;05/07/2011;14:00;19,02;;N;
99;06/07/2011;23:00;19,01;;N;
100;07/07/2011;08:00;19,01;;N;
101;08/07/2011;13:00;19,03;;N;
102;09/07/2011;14:00;19,04;;N;
103;10/07/2011;19:00;19,06;;N;
104;11/07/2011;06:00;19,07;;N;
105;12/07/2011;18:00;19,07;;N;
106;13/07/2011;04:00;19,06;;N;
107;14/07/2011;02:00;19,05;;N;
108;15/07/2011;14:00;19,07;;N;
109;16/07/2011;01:00;19,10;;N;
110;17/07/2011;14:00;19,10;;N;
111;18/07/2011;01:00;19,11;;N;
112;19/07/2011;16:00;19,12;;N;
113;20/07/2011;05:00;19,14;;N;
114;21/07/2011;15:00;19,15;;N;
115;22/07/2011;05:00;19,18;;N;
116;23/07/2011;08:00;19,17;;N;
117;24/07/2011;00:00;19,17;;N;
118;25/07/2011;13:00;19,15;;N;
119;26/07/2011;21:00;19,15;;N;
120;27/07/2011;01:00;19,15;;N;
121;28/07/2011;14:00;19,14;;N;
122;29/07/2011;21:00;19,14;;N;
123;30/07/2011;20:00;19,15;;N;
124;31/07/2011;00:00;19,17;;N;
125;01/08/2011;08:00;19,17;;N;
126;02/08/2011;06:00;19,19;;N;
127;03/08/2011;16:00;19,20;;N;
128;04/08/2011;06:00;19,17;;N;
129;05/08/2011;03:00;19,14;;N;
130;06/08/2011;03:00;19,13;;N;
131;07/08/2011;01:00;19,13;;N;
132;08/08/2011;03:00;19,10;;N;
133;09/08/2011;06:00;19,10;;N;
134;10/08/2011;01:00;19,09;;N;
135;11/08/2011;00:00;19,10;;N;
136;12/08/2011;14:00;19,10;;N;
137;13/08/2011;03:00;19,12;;N;
138;14/08/2011;13:00;19,12;;N;
139;15/08/2011;06:00;19,12;;N;
140;16/08/2011;07:00;19,13;;N;
141;17/08/2011;05:00;19,13;;N;
142;18/08/2011;00:00;19,12;;N;
143;19/08/2011;03:00;19,11;;N;
144;20/08/2011;14:00;19,17;;N;
145;21/08/2011;04:00;19,16;;N;
146;22/08/2011;23:00;19,11;;N;
147;23/08/2011;00:00;19,11;;N;
148;24/08/2011;22:00;19,09;;N;
149;25/08/2011;22:00;19,07;;N;
150;26/08/2011;04:00;19,07;;N;
151;27/08/2011;01:00;19,08;;N;
152;28/08/2011;14:00;19,09;;N;
153;29/08/2011;02:00;19,10;;N;
154;30/08/2011;14:00;19,09;;N;
155;31/08/2011;05:00;19,09;;N;
156;01/09/2011;07:00;19,01;;N;
157;02/09/2011;17:00;19,01;;N;
158;03/09/2011;06:00;19,04;;N;
159;04/09/2011;17:00;19,06;;N;
160;05/09/2011;05:00;19,08;;N;
161;06/09/2011;13:00;19,07;;N;
162;07/09/2011;05:00;19,07;;N;
163;08/09/2011;00:00;19,07;;N;
164;09/09/2011;08:00;19,08;;N;
165;10/09/2011;18:00;19,10;;N;
166;11/09/2011;15:00;19,13;;N;
167;12/09/2011;03:00;19,12;;N;
168;13/09/2011;15:00;19,12;;N;
169;14/09/2011;05:00;19,10;;N;
170;15/09/2011;04:00;19,07;;N;
171;16/09/2011;20:00;19,08;;N;
172;17/09/2011;06:00;19,10;;N;
173;18/09/2011;06:00;19,12;;N;
174;19/09/2011;04:00;19,12;;N;
175;20/09/2011;15:00;19,12;;N;
176;21/09/2011;21:00;19,11;;N;
177;22/09/2011;20:00;19,09;;N;
178;23/09/2011;06:00;19,11;;N;
179;24/09/2011;19:00;19,14;;N;
180;25/09/2011;20:00;19,13;;N;
181;26/09/2011;19:00;19,13;;N;
