# Processado em: 2025-03-10T18:24:57.663471
,data_da_medicao,niveldagua_m,date,tempo_s
0,30/03/2011,20.84,2011-03-30,354758400.0
1,31/03/2011,20.83,2011-03-31,354844800.0
2,01/04/2011,20.78,2011-04-01,354931200.0
3,02/04/2011,20.69,2011-04-02,355017600.0
4,03/04/2011,20.62,2011-04-03,355104000.0
5,04/04/2011,20.52,2011-04-04,355190400.0
6,05/04/2011,20.51,2011-04-05,355276800.0
7,06/04/2011,20.47,2011-04-06,355363200.0
8,07/04/2011,20.39,2011-04-07,355449600.0
9,08/04/2011,20.32,2011-04-08,355536000.0
10,09/04/2011,20.26,2011-04-09,355622400.0
11,10/04/2011,20.19,2011-04-10,355708800.0
12,11/04/2011,20.13,2011-04-11,355795200.0
13,12/04/2011,20.02,2011-04-12,355881600.0
14,13/04/2011,19.97,2011-04-13,355968000.0
15,14/04/2011,19.9,2011-04-14,356054400.0
16,15/04/2011,19.85,2011-04-15,356140800.0
17,16/04/2011,19.79,2011-04-16,356227200.0
18,17/04/2011,19.68,2011-04-17,356313600.0
19,18/04/2011,19.63,2011-04-18,356400000.0
20,19/04/2011,19.59,2011-04-19,356486400.0
21,20/04/2011,19.53,2011-04-20,356572800.0
22,21/04/2011,19.49,2011-04-21,356659200.0
23,22/04/2011,19.45,2011-04-22,356745600.0
24,23/04/2011,19.41,2011-04-23,356832000.0
25,24/04/2011,19.37,2011-04-24,356918400.0
26,25/04/2011,19.34,2011-04-25,357004800.0
27,26/04/2011,19.32,2011-04-26,357091200.0
28,27/04/2011,19.29,2011-04-27,357177600.0
29,28/04/2011,19.29,2011-04-28,357264000.0
30,29/04/2011,19.27,2011-04-29,357350400.0
31,30/04/2011,19.26,2011-04-30,357436800.0
32,01/05/2011,19.27,2011-05-01,357523200.0
33,02/05/2011,19.28,2011-05-02,357609600.0
34,03/05/2011,19.27,2011-05-03,357696000.0
35,04/05/2011,19.24,2011-05-04,357782400.0
36,05/05/2011,19.23,2011-05-05,357868800.0
37,06/05/2011,19.22,2011-05-06,357955200.0
38,07/05/2011,19.23,2011-05-07,358041600.0
39,08/05/2011,19.21,2011-05-08,358128000.0
40,09/05/2011,19.21,2011-05-09,358214400.0
41,10/05/2011,19.19,2011-05-10,358300800.0
42,11/05/2011,19.19,2011-05-11,358387200.0
43,12/05/2011,19.18,2011-05-12,358473600.0
44,13/05/2011,19.16,2011-05-13,358560000.0
45,14/05/2011,19.16,2011-05-14,358646400.0
46,15/05/2011,19.14,2011-05-15,358732800.0
47,16/05/2011,19.15,2011-05-16,358819200.0
48,17/05/2011,19.13,2011-05-17,358905600.0
49,18/05/2011,19.11,2011-05-18,358992000.0
50,19/05/2011,19.1,2011-05-19,359078400.0
51,20/05/2011,19.07,2011-05-20,359164800.0
52,21/05/2011,19.05,2011-05-21,359251200.0
53,22/05/2011,19.03,2011-05-22,359337600.0
54,23/05/2011,19.03,2011-05-23,359424000.0
55,24/05/2011,19.02,2011-05-24,359510400.0
56,25/05/2011,19.02,2011-05-25,359596800.0
57,26/05/2011,19.05,2011-05-26,359683200.0
58,27/05/2011,19.06,2011-05-27,359769600.0
59,28/05/2011,19.06,2011-05-28,359856000.0
60,29/05/2011,19.06,2011-05-29,359942400.0
61,30/05/2011,19.06,2011-05-30,360028800.0
62,31/05/2011,19.06,2011-05-31,360115200.0
63,01/06/2011,19.05,2011-06-01,360201600.0
64,02/06/2011,19.04,2011-06-02,360288000.0
65,03/06/2011,19.05,2011-06-03,360374400.0
66,04/06/2011,19.06,2011-06-04,360460800.0
67,05/06/2011,19.05,2011-06-05,360547200.0
68,06/06/2011,19.03,2011-06-06,360633600.0
69,07/06/2011,19.02,2011-06-07,360720000.0
70,08/06/2011,19.01,2011-06-08,360806400.0
71,09/06/2011,19.01,2011-06-09,360892800.0
72,10/06/2011,19.02,2011-06-10,360979200.0
73,11/06/2011,19.0,2011-06-11,361065600.0
74,12/06/2011,18.99,2011-06-12,361152000.0
75,13/06/2011,19.0,2011-06-13,361238400.0
76,14/06/2011,18.99,2011-06-14,361324800.0
77,15/06/2011,18.98,2011-06-15,361411200.0
78,16/06/2011,18.97,2011-06-16,361497600.0
79,17/06/2011,18.97,2011-06-17,361584000.0
80,18/06/2011,18.97,2011-06-18,361670400.0
81,19/06/2011,18.95,2011-06-19,361756800.0
82,20/06/2011,18.96,2011-06-20,361843200.0
83,21/06/2011,18.96,2011-06-21,361929600.0
84,22/06/2011,18.98,2011-06-22,362016000.0
85,23/06/2011,18.97,2011-06-23,362102400.0
86,24/06/2011,18.96,2011-06-24,362188800.0
87,25/06/2011,18.96,2011-06-25,362275200.0
88,26/06/2011,18.98,2011-06-26,362361600.0
89,27/06/2011,18.96,2011-06-27,362448000.0
90,28/06/2011,18.94,2011-06-28,362534400.0
91,29/06/2011,18.94,2011-06-29,362620800.0
92,30/06/2011,18.94,2011-06-30,362707200.0
93,01/07/2011,18.99,2011-07-01,362793600.0
94,02/07/2011,19.02,2011-07-02,362880000.0
95,03/07/2011,19.04,2011-07-03,362966400.0
96,04/07/2011,19.03,2011-07-04,363052800.0
97,05/07/2011,19.02,2011-07-05,363139200.0
98,06/07/2011,19.01,2011-07-06,363225600.0
99,07/07/2011,19.01,2011-07-07,363312000.0
100,08/07/2011,19.03,2011-07-08,363398400.0
101,09/07/2011,19.04,2011-07-09,363484800.0
102,10/07/2011,19.06,2011-07-10,363571200.0
103,11/07/2011,19.07,2011-07-11,363657600.0
104,12/07/2011,19.07,2011-07-12,363744000.0
105,13/07/2011,19.06,2011-07-13,363830400.0
106,14/07/2011,19.05,2011-07-14,363916800.0
107,15/07/2011,19.07,2011-07-15,364003200.0
108,16/07/2011,19.1,2011-07-16,364089600.0
109,17/07/2011,19.1,2011-07-17,364176000.0
110,18/07/2011,19.11,2011-07-18,364262400.0
111,19/07/2011,19.12,2011-07-19,364348800.0
112,20/07/2011,19.14,2011-07-20,364435200.0
113,21/07/2011,19.15,2011-07-21,364521600.0
114,22/07/2011,19.18,2011-07-22,364608000.0
115,23/07/2011,19.17,2011-07-23,364694400.0
116,24/07/2011,19.17,2011-07-24,364780800.0
117,25/07/2011,19.15,2011-07-25,364867200.0
118,26/07/2011,19.15,2011-07-26,364953600.0
119,27/07/2011,19.15,2011-07-27,365040000.0
120,28/07/2011,19.14,2011-07-28,365126400.0
121,29/07/2011,19.14,2011-07-29,365212800.0
122,30/07/2011,19.15,2011-07-30,365299200.0
123,31/07/2011,19.17,2011-07-31,365385600.0
124,01/08/2011,19.17,2011-08-01,365472000.0
125,02/08/2011,19.19,2011-08-02,365558400.0
126,03/08/2011,19.2,2011-08-03,365644800.0
127,04/08/2011,19.17,2011-08-04,365731200.0
128,05/08/2011,19.14,2011-08-05,365817600.0
129,06/08/2011,19.13,2011-08-06,365904000.0
130,07/08/2011,19.13,2011-08-07,365990400.0
131,08/08/2011,19.1,2011-08-08,366076800.0
132,09/08/2011,19.1,2011-08-09,366163200.0
133,10/08/2011,19.09,2011-08-10,366249600.0
134,11/08/2011,19.1,2011-08-11,366336000.0
135,12/08/2011,19.1,2011-08-12,366422400.0
136,13/08/2011,19.12,2011-08-13,366508800.0
137,14/08/2011,19.12,2011-08-14,366595200.0
138,15/08/2011,19.12,2011-08-15,366681600.0
139,16/08/2011,19.13,2011-08-16,366768000.0
140,17/08/2011,19.13,2011-08-17,366854400.0
141,18/08/2011,19.12,2011-08-18,366940800.0
142,19/08/2011,19.11,2011-08-19,367027200.0
143,20/08/2011,19.17,2011-08-20,367113600.0
144,21/08/2011,19.16,2011-08-21,367200000.0
145,22/08/2011,19.11,2011-08-22,367286400.0
146,23/08/2011,19.11,2011-08-23,367372800.0
147,24/08/2011,19.09,2011-08-24,367459200.0
148,25/08/2011,19.07,2011-08-25,367545600.0
149,26/08/2011,19.07,2011-08-26,367632000.0
150,27/08/2011,19.08,2011-08-27,367718400.0
151,28/08/2011,19.09,2011-08-28,367804800.0
