,Ponto,Lat_rimas,Lon_rimas,date,lwe_thickness,distancia_csr,niveldagua_m,TWS_tavg,GWS_tavg,SoilMoist_RZ_tavg,SoilMoist_S_tavg,CanopInt_tavg,distancia_gldas
104,3100020113,-18.621944,-48.685278,2011-04-16,30.733456,0.0603554174867477,-24.0,2188.4375,1937.5677,250.86668,5.1082644,0.0031101222,0.0603554174867477
105,3100020113,-18.621944,-48.685278,2011-05-16,20.327747,0.0603554174867477,-23.27,2082.7007,1849.2207,233.46317,4.8664875,0.016806167,0.0603554174867477
106,3100020113,-18.621944,-48.685278,2011-07-18,8.754686,0.0603554174867477,-22.71,1905.4149,1682.7675,222.64732,4.451299,0.00010257104,0.0603554174867477
107,3100020113,-18.621944,-48.685278,2011-08-16,2.510496,0.0603554174867477,-22.84,1817.166,1602.045,215.12099,4.231979,3.4141456e-05,0.0603554174867477
108,3100020113,-18.621944,-48.685278,2011-09-16,-7.2640753,0.0603554174867477,-23.07,1726.548,1521.369,205.17424,4.055458,0.0047810706,0.0603554174867477
109,3100020113,-18.621944,-48.685278,2011-10-16,-10.879093,0.0603554174867477,-23.29,1749.6561,1496.9254,252.63792,5.555202,0.09277402,0.0603554174867477
110,3100020113,-18.621944,-48.685278,2011-10-31,-8.498425,0.0603554174867477,-23.41,1754.4683,1510.5383,243.87108,5.392854,0.058862377,0.0603554174867477
111,3100020113,-18.621944,-48.685278,2011-12-28,3.469498,0.0603554174867477,-23.88,1870.2472,1600.8195,269.28934,5.6422973,0.13844691,0.0603554174867477
112,3100020113,-18.621944,-48.685278,2012-01-16,11.65725,0.0603554174867477,-24.0,2053.1492,1761.497,291.48526,6.2036166,0.16694127,0.0603554174867477
113,3100020113,-18.621944,-48.685278,2012-02-15,12.665031,0.0603554174867477,-24.2,2032.949,1775.2516,257.6791,5.1430764,0.018297456,0.0603554174867477
114,3100020113,-18.621944,-48.685278,2012-03-16,4.787427,0.0603554174867477,-24.45,1946.2144,1707.8489,238.19453,5.475349,0.1709403,0.0603554174867477
115,3100020113,-18.621944,-48.685278,2012-04-04,6.8253565,0.0603554174867477,-24.58,1943.8607,1704.1781,239.63092,4.8321533,0.05160837,0.0603554174867477
117,3100020113,-18.621944,-48.685278,2012-07-16,-4.8140244,0.0603554174867477,-24.5,1810.1664,1593.3958,216.73743,4.526776,0.033180986,0.0603554174867477
118,3100020113,-18.621944,-48.685278,2012-08-16,-13.345697,0.0603554174867477,-24.68,1741.8746,1531.2761,210.59853,4.165714,5.9958173e-05,0.0603554174867477
119,3100020113,-18.621944,-48.685278,2012-09-13,-18.938604,0.0603554174867477,-24.85,1672.2406,1485.8202,186.4204,3.303025,1.2309368e-05,0.0603554174867477
120,3100020113,-18.621944,-48.685278,2012-11-18,-25.088837,0.0603554174867477,-25.16,1694.9188,1427.186,267.65814,5.2255664,0.07468209,0.0603554174867477
121,3100020113,-18.621944,-48.685278,2012-12-16,-19.259415,0.0603554174867477,-24.92,1704.9474,1455.9736,248.91867,5.145565,0.05505232,0.0603554174867477
122,3100020113,-18.621944,-48.685278,2013-01-16,-17.964848,0.0603554174867477,-25.06,1722.4857,1452.2504,270.13492,6.1299562,0.10042786,0.0603554174867477
123,3100020113,-18.621944,-48.685278,2013-02-14,3.3125162,0.0603554174867477,-25.11,1825.2963,1580.1577,245.13788,4.8097634,0.0007528342,0.0603554174867477
124,3100020113,-18.621944,-48.685278,2013-04-21,9.189434,0.0603554174867477,-25.08,1927.796,1687.8558,239.93958,4.772159,0.00060435943,0.0603554174867477
125,3100020113,-18.621944,-48.685278,2013-05-16,-1.3844306,0.0603554174867477,-24.89,1858.4147,1646.2257,212.18575,4.236625,0.0031431476,0.0603554174867477
126,3100020113,-18.621944,-48.685278,2013-06-16,5.76046,0.0603554174867477,-24.72,1827.6346,1606.0388,221.59401,4.4189196,0.0017904602,0.0603554174867477
128,3100020113,-18.621944,-48.685278,2013-10-16,-22.400616,0.0603554174867477,-24.9,1620.5068,1419.4155,201.08363,3.7833233,0.007749139,0.0603554174867477
129,3100020113,-18.621944,-48.685278,2013-11-16,-23.348394,0.0603554174867477,-25.04,1646.2108,1415.7676,230.43143,4.449751,0.011780675,0.0603554174867477
130,3100020113,-18.621944,-48.685278,2013-12-16,-17.049011,0.0603554174867477,-25.12,1756.2101,1459.0497,297.00214,6.340144,0.15835802,0.0603554174867477
131,3100020113,-18.621944,-48.685278,2014-01-09,-13.705519,0.0603554174867477,-25.22,1722.7465,1510.1635,212.57765,4.4460273,0.0053327186,0.0603554174867477
134,3100020113,-18.621944,-48.685278,2014-05-16,-10.123146,0.0603554174867477,-25.52,1652.7028,1458.5026,194.19997,3.731056,0.00025171431,0.0603554174867477
135,3100020113,-18.621944,-48.685278,2014-06-13,-22.757565,0.0603554174867477,-25.55,1623.1401,1432.4321,190.70769,3.656688,0.00032456018,0.0603554174867477
136,3100020113,-18.621944,-48.685278,2014-08-16,-33.508163,0.0603554174867477,-25.66,1554.7491,1366.223,188.52545,3.5422301,0.0006424508,0.0603554174867477
137,3100020113,-18.621944,-48.685278,2014-09-16,-41.166954,0.0603554174867477,-25.76,1492.0323,1323.6831,168.3476,2.9033687,0.0017372085,0.0603554174867477
138,3100020113,-18.621944,-48.685278,2014-10-16,-47.806465,0.0603554174867477,-25.86,1438.4891,1279.2753,159.21384,2.494415,1.015209e-05,0.0603554174867477
139,3100020113,-18.621944,-48.685278,2014-11-16,-44.100876,0.0603554174867477,-25.88,1462.316,1250.4658,211.76973,4.3239703,0.08047067,0.0603554174867477
142,3100020113,-18.621944,-48.685278,2015-03-16,-8.478187,0.0603554174867477,-25.83,1661.2646,1411.2595,249.91057,5.2822075,0.09458441,0.0603554174867477
143,3100020113,-18.621944,-48.685278,2015-04-16,-4.742768,0.0603554174867477,-26.4,1706.1774,1472.9924,233.01411,4.829005,0.170796,0.0603554174867477
144,3100020113,-18.621944,-48.685278,2015-04-27,-6.3802466,0.0603554174867477,-26.38,1719.3447,1483.0701,236.25014,4.7085705,0.024517778,0.0603554174867477
145,3100020113,-18.621944,-48.685278,2015-07-15,-28.680466,0.0603554174867477,-26.14,1628.8877,1430.5145,198.37251,3.8192656,0.00057268795,0.0603554174867477
146,3100020113,-18.621944,-48.685278,2015-08-16,-29.863089,0.0603554174867477,-25.9,1571.2998,1390.539,180.76082,3.3200066,1.6934095e-05,0.0603554174867477
147,3100020113,-18.621944,-48.685278,2015-09-14,-35.882957,0.0603554174867477,-25.83,1558.911,1357.3724,201.53026,3.8607996,0.008287234,0.0603554174867477
152,3100020113,-18.621944,-48.685278,2016-05-20,-13.697548,0.0603554174867477,-25.75,1750.4872,1543.3167,207.15576,4.138816,0.014741095,0.0603554174867477
153,3100020113,-18.621944,-48.685278,2016-06-16,-5.2103567,0.0603554174867477,-25.63,1705.4844,1500.797,204.68643,3.9724581,0.0009304361,0.0603554174867477
154,3100020113,-18.621944,-48.685278,2016-07-15,-20.740911,0.0603554174867477,-25.6,1663.5763,1470.0009,193.57533,3.6539867,9.2219e-05,0.0603554174867477
155,3100020113,-18.621944,-48.685278,2016-08-21,-29.077017,0.0603554174867477,-25.8,1607.1388,1417.9958,189.1379,3.8048878,0.0050559524,0.0603554174867477
