
Id Ponto:;5200007037
Consulta em:;06/09/2024 16:59:15
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;22/10/2012;16:00;23,31;;N;
2;23/10/2012;02:00;23,43;;N;
3;24/10/2012;00:00;23,44;;N;
4;25/10/2012;12:00;23,43;;N;
5;26/10/2012;11:00;23,30;;N;
6;27/10/2012;19:00;22,90;;N;
7;28/10/2012;06:00;23,00;;N;
8;29/10/2012;17:00;23,19;;N;
9;30/10/2012;17:00;23,31;;N;
10;31/10/2012;01:00;23,37;;N;
11;01/11/2012;12:00;23,35;;N;
12;02/11/2012;21:00;23,20;;N;
13;03/11/2012;08:00;23,12;;N;
14;04/11/2012;18:00;23,06;;N;
15;05/11/2012;13:00;22,90;;N;
16;06/11/2012;14:00;22,95;;N;
17;07/11/2012;18:00;22,95;;N;
18;08/11/2012;06:00;22,87;;N;
19;09/11/2012;06:00;22,88;;N;
20;10/11/2012;19:00;23,00;;N;
21;11/11/2012;23:00;22,99;;N;
22;12/11/2012;05:00;22,90;;N;
23;13/11/2012;17:00;22,90;;N;
24;14/11/2012;07:00;22,98;;N;
25;15/11/2012;06:00;22,93;;N;
26;16/11/2012;17:00;23,05;;N;
27;17/11/2012;12:00;23,03;;N;
28;18/11/2012;11:00;22,75;;N;
29;19/11/2012;06:00;23,02;;N;
30;20/11/2012;07:00;23,14;;N;
31;21/11/2012;18:00;23,15;;N;
32;22/11/2012;18:00;23,21;;N;
33;23/11/2012;06:00;23,12;;N;
34;24/11/2012;18:00;23,16;;N;
35;25/11/2012;16:00;23,06;;N;
36;26/11/2012;06:00;23,11;;N;
37;27/11/2012;11:00;23,25;;N;
38;28/11/2012;18:00;23,33;;N;
39;29/11/2012;18:00;23,37;;N;
40;30/11/2012;12:00;23,36;;N;
41;01/12/2012;11:00;23,35;;N;
42;02/12/2012;11:00;23,35;;N;
43;03/12/2012;16:00;23,27;;N;
44;04/12/2012;18:00;23,39;;N;
45;05/12/2012;18:00;23,43;;N;
46;06/12/2012;08:00;23,56;;N;
47;07/12/2012;11:00;23,66;;N;
48;08/12/2012;12:00;23,74;;N;
49;09/12/2012;09:00;23,75;;N;
50;10/12/2012;19:00;23,68;;N;
51;11/12/2012;19:00;23,77;;N;
52;12/12/2012;21:00;23,74;;N;
53;13/12/2012;00:00;23,79;;N;
54;14/12/2012;19:00;23,78;;N;
55;15/12/2012;15:00;23,83;;N;
56;16/12/2012;11:00;23,74;;N;
57;17/12/2012;17:00;23,72;;N;
58;18/12/2012;06:00;23,76;;N;
59;19/12/2012;20:00;23,82;;N;
60;20/12/2012;20:00;23,83;;N;
61;21/12/2012;11:00;23,91;;N;
62;22/12/2012;19:00;23,74;;N;
63;23/12/2012;07:00;23,84;;N;
64;24/12/2012;17:00;23,83;;N;
65;25/12/2012;10:00;23,88;;N;
66;26/12/2012;19:00;23,64;;N;
67;27/12/2012;11:00;23,90;;N;
68;28/12/2012;19:00;23,91;;N;
69;29/12/2012;19:00;23,90;;N;
70;30/12/2012;23:00;23,79;;N;
71;31/12/2012;15:00;23,86;;N;
72;01/01/2013;06:00;24,05;;N;
73;02/01/2013;21:00;22,99;;N;
74;03/01/2013;11:00;23,59;;N;
75;04/01/2013;22:00;24,02;;N;
