# Processado em: 2025-02-26T11:45:50.772417
,data_da_medicao,niveldagua_m,date,tempo_s
0,22/10/2012,23.31,2012-10-22,404179200.0
1,23/10/2012,23.43,2012-10-23,404265600.0
2,24/10/2012,23.44,2012-10-24,404352000.0
3,25/10/2012,23.43,2012-10-25,404438400.0
4,26/10/2012,23.3,2012-10-26,404524800.0
5,27/10/2012,22.9,2012-10-27,404611200.0
6,28/10/2012,23.0,2012-10-28,404697600.0
7,29/10/2012,23.19,2012-10-29,404784000.0
8,30/10/2012,23.31,2012-10-30,404870400.0
9,31/10/2012,23.37,2012-10-31,404956800.0
10,01/11/2012,23.35,2012-11-01,405043200.0
11,02/11/2012,23.2,2012-11-02,405129600.0
12,03/11/2012,23.12,2012-11-03,405216000.0
13,04/11/2012,23.06,2012-11-04,405302400.0
14,05/11/2012,22.9,2012-11-05,405388800.0
15,06/11/2012,22.95,2012-11-06,405475200.0
16,07/11/2012,22.95,2012-11-07,405561600.0
17,08/11/2012,22.87,2012-11-08,405648000.0
18,09/11/2012,22.88,2012-11-09,405734400.0
19,10/11/2012,23.0,2012-11-10,405820800.0
20,11/11/2012,22.99,2012-11-11,405907200.0
21,12/11/2012,22.9,2012-11-12,405993600.0
22,13/11/2012,22.9,2012-11-13,406080000.0
23,14/11/2012,22.98,2012-11-14,406166400.0
24,15/11/2012,22.93,2012-11-15,406252800.0
25,16/11/2012,23.05,2012-11-16,406339200.0
26,17/11/2012,23.03,2012-11-17,406425600.0
27,18/11/2012,22.75,2012-11-18,406512000.0
28,19/11/2012,23.02,2012-11-19,406598400.0
29,20/11/2012,23.14,2012-11-20,406684800.0
30,21/11/2012,23.15,2012-11-21,406771200.0
31,22/11/2012,23.21,2012-11-22,406857600.0
32,23/11/2012,23.12,2012-11-23,406944000.0
33,24/11/2012,23.16,2012-11-24,407030400.0
34,25/11/2012,23.06,2012-11-25,407116800.0
35,26/11/2012,23.11,2012-11-26,407203200.0
36,27/11/2012,23.25,2012-11-27,407289600.0
37,28/11/2012,23.33,2012-11-28,407376000.0
38,29/11/2012,23.37,2012-11-29,407462400.0
39,30/11/2012,23.36,2012-11-30,407548800.0
40,01/12/2012,23.35,2012-12-01,407635200.0
41,02/12/2012,23.35,2012-12-02,407721600.0
42,03/12/2012,23.27,2012-12-03,407808000.0
43,04/12/2012,23.39,2012-12-04,407894400.0
44,05/12/2012,23.43,2012-12-05,407980800.0
45,06/12/2012,23.56,2012-12-06,408067200.0
46,07/12/2012,23.66,2012-12-07,408153600.0
47,08/12/2012,23.74,2012-12-08,408240000.0
48,09/12/2012,23.75,2012-12-09,408326400.0
49,10/12/2012,23.68,2012-12-10,408412800.0
50,11/12/2012,23.77,2012-12-11,408499200.0
51,12/12/2012,23.74,2012-12-12,408585600.0
52,13/12/2012,23.79,2012-12-13,408672000.0
53,14/12/2012,23.78,2012-12-14,408758400.0
54,15/12/2012,23.83,2012-12-15,408844800.0
55,16/12/2012,23.74,2012-12-16,408931200.0
56,17/12/2012,23.72,2012-12-17,409017600.0
57,18/12/2012,23.76,2012-12-18,409104000.0
58,19/12/2012,23.82,2012-12-19,409190400.0
59,20/12/2012,23.83,2012-12-20,409276800.0
60,21/12/2012,23.91,2012-12-21,409363200.0
61,22/12/2012,23.74,2012-12-22,409449600.0
62,23/12/2012,23.84,2012-12-23,409536000.0
63,24/12/2012,23.83,2012-12-24,409622400.0
64,25/12/2012,23.88,2012-12-25,409708800.0
65,26/12/2012,23.64,2012-12-26,409795200.0
66,27/12/2012,23.9,2012-12-27,409881600.0
67,28/12/2012,23.91,2012-12-28,409968000.0
68,29/12/2012,23.9,2012-12-29,410054400.0
69,30/12/2012,23.79,2012-12-30,410140800.0
70,31/12/2012,23.86,2012-12-31,410227200.0
71,01/01/2013,24.05,2013-01-01,410313600.0
72,02/01/2013,22.99,2013-01-02,410400000.0
73,03/01/2013,23.59,2013-01-03,410486400.0
74,04/01/2013,24.02,2013-01-04,410572800.0
75,05/01/2013,23.94,2013-01-05,410659200.0
76,06/01/2013,23.94,2013-01-06,410745600.0
77,07/01/2013,24.09,2013-01-07,410832000.0
78,08/01/2013,24.18,2013-01-08,410918400.0
79,09/01/2013,24.26,2013-01-09,411004800.0
80,10/01/2013,24.31,2013-01-10,411091200.0
81,11/01/2013,24.23,2013-01-11,411177600.0
82,12/01/2013,24.17,2013-01-12,411264000.0
83,13/01/2013,24.12,2013-01-13,411350400.0
84,14/01/2013,24.08,2013-01-14,411436800.0
85,15/01/2013,24.11,2013-01-15,411523200.0
86,16/01/2013,24.11,2013-01-16,411609600.0
87,17/01/2013,24.11,2013-01-17,411696000.0
88,18/01/2013,24.11,2013-01-18,411782400.0
89,19/01/2013,24.11,2013-01-19,411868800.0
90,20/01/2013,24.11,2013-01-20,411955200.0
91,21/01/2013,24.11,2013-01-21,412041600.0
92,22/01/2013,24.11,2013-01-22,412128000.0
93,23/01/2013,24.11,2013-01-23,412214400.0
94,24/01/2013,24.1,2013-01-24,412300800.0
95,25/01/2013,24.1,2013-01-25,412387200.0
96,26/01/2013,24.1,2013-01-26,412473600.0
97,27/01/2013,24.1,2013-01-27,412560000.0
98,28/01/2013,24.1,2013-01-28,412646400.0
99,29/01/2013,24.1,2013-01-29,412732800.0
100,30/01/2013,24.1,2013-01-30,412819200.0
101,31/01/2013,24.1,2013-01-31,412905600.0
102,01/02/2013,24.1,2013-02-01,412992000.0
103,02/02/2013,24.1,2013-02-02,413078400.0
104,03/02/2013,24.1,2013-02-03,413164800.0
105,04/02/2013,23.67,2013-02-04,413251200.0
106,05/02/2013,23.69,2013-02-05,413337600.0
107,06/02/2013,23.39,2013-02-06,413424000.0
108,07/02/2013,23.27,2013-02-07,413510400.0
109,08/02/2013,23.42,2013-02-08,413596800.0
110,09/02/2013,23.37,2013-02-09,413683200.0
111,10/02/2013,23.2,2013-02-10,413769600.0
112,11/02/2013,23.12,2013-02-11,413856000.0
113,12/02/2013,23.19,2013-02-12,413942400.0
114,13/02/2013,23.17,2013-02-13,414028800.0
115,14/02/2013,23.11,2013-02-14,414115200.0
116,15/02/2013,22.96,2013-02-15,414201600.0
117,16/02/2013,23.06,2013-02-16,414288000.0
118,17/02/2013,22.68,2013-02-17,414374400.0
119,18/02/2013,22.6,2013-02-18,414460800.0
120,19/02/2013,22.55,2013-02-19,414547200.0
121,20/02/2013,22.5,2013-02-20,414633600.0
122,21/02/2013,22.46,2013-02-21,414720000.0
123,22/02/2013,22.75,2013-02-22,414806400.0
124,23/02/2013,22.74,2013-02-23,414892800.0
125,24/02/2013,22.75,2013-02-24,414979200.0
126,25/02/2013,22.75,2013-02-25,415065600.0
127,26/02/2013,22.75,2013-02-26,415152000.0
128,27/02/2013,22.75,2013-02-27,415238400.0
129,28/02/2013,22.75,2013-02-28,415324800.0
130,01/03/2013,22.75,2013-03-01,415411200.0
131,02/03/2013,22.75,2013-03-02,415497600.0
