
Id Ponto:;3500029180
Consulta em:;06/09/2024 15:44:52
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;23/03/2012;19:00;35,94;;N;
2;24/03/2012;07:00;35,94;;N;
3;25/03/2012;19:00;35,94;;N;
4;26/03/2012;00:00;35,95;;N;
5;27/03/2012;17:00;35,95;;N;
6;28/03/2012;20:00;35,95;;N;
7;29/03/2012;17:00;35,95;;N;
8;30/03/2012;04:00;35,96;;N;
9;31/03/2012;05:00;35,96;;N;
10;01/04/2012;01:00;35,96;;N;
11;02/04/2012;05:00;35,96;;N;
12;03/04/2012;12:00;35,96;;N;
13;04/04/2012;12:00;35,96;;N;
14;05/04/2012;18:00;35,96;;N;
15;06/04/2012;01:00;35,97;;N;
16;07/04/2012;04:00;35,97;;N;
17;08/04/2012;16:00;35,97;;N;
18;09/04/2012;18:00;35,97;;N;
19;10/04/2012;07:00;35,98;;N;
20;11/04/2012;06:00;35,98;;N;
21;12/04/2012;06:00;35,98;;N;
22;13/04/2012;07:00;35,98;;N;
23;14/04/2012;12:00;35,98;;N;
24;15/04/2012;18:00;35,98;;N;
25;16/04/2012;05:00;35,99;;N;
26;17/04/2012;00:00;36,00;;N;
27;18/04/2012;12:00;35,99;;N;
28;19/04/2012;03:00;35,99;;N;
29;20/04/2012;11:00;35,99;;N;
30;21/04/2012;12:00;36,00;;N;
31;22/04/2012;04:00;36,00;;N;
32;23/04/2012;06:00;36,00;;N;
33;24/04/2012;07:00;36,00;;N;
34;25/04/2012;07:00;36,00;;N;
35;26/04/2012;12:00;36,00;;N;
36;27/04/2012;01:00;36,01;;N;
37;28/04/2012;19:00;36,00;;N;
38;29/04/2012;17:00;36,01;;N;
39;30/04/2012;02:00;36,02;;N;
40;01/05/2012;00:00;36,02;;N;
41;02/05/2012;06:00;36,02;;N;
42;03/05/2012;05:00;36,02;;N;
43;04/05/2012;06:00;36,02;;N;
44;05/05/2012;12:00;36,02;;N;
45;06/05/2012;13:00;36,02;;N;
46;07/05/2012;01:00;36,03;;N;
47;08/05/2012;23:00;36,02;;N;
48;09/05/2012;04:00;36,02;;N;
49;10/05/2012;13:00;36,02;;N;
50;11/05/2012;18:00;36,02;;N;
51;12/05/2012;00:00;36,03;;N;
52;13/05/2012;14:00;36,03;;N;
53;14/05/2012;01:00;36,04;;N;
54;15/05/2012;05:00;36,04;;N;
55;16/05/2012;06:00;36,04;;N;
56;17/05/2012;05:00;36,04;;N;
57;18/05/2012;07:00;36,04;;N;
58;19/05/2012;05:00;36,04;;N;
59;20/05/2012;17:00;36,04;;N;
60;21/05/2012;05:00;36,05;;N;
61;22/05/2012;01:00;36,05;;N;
62;23/05/2012;03:00;36,05;;N;
63;24/05/2012;03:00;36,05;;N;
64;25/05/2012;19:00;36,05;;N;
65;26/05/2012;06:00;36,05;;N;
66;27/05/2012;13:00;36,05;;N;
67;28/05/2012;07:00;36,06;;N;
68;29/05/2012;01:00;36,06;;N;
69;30/05/2012;07:00;36,06;;N;
70;31/05/2012;12:00;36,06;;N;
71;01/06/2012;21:00;36,06;;N;
72;02/06/2012;06:00;36,06;;N;
73;03/06/2012;05:00;36,06;;N;
74;04/06/2012;06:00;36,06;;N;
75;05/06/2012;06:00;36,08;;N;
76;06/06/2012;00:00;36,08;;N;
77;07/06/2012;05:00;36,08;;N;
78;08/06/2012;06:00;36,08;;N;
79;09/06/2012;06:00;36,08;;N;
80;10/06/2012;08:00;36,08;;N;
81;11/06/2012;06:00;36,08;;N;
82;12/06/2012;06:00;36,08;;N;
83;13/06/2012;03:00;36,09;;N;
84;14/06/2012;01:00;36,09;;N;
85;15/06/2012;02:00;36,09;;N;
86;16/06/2012;05:00;36,09;;N;
87;17/06/2012;05:00;36,09;;N;
88;18/06/2012;03:00;36,09;;N;
89;19/06/2012;12:00;36,09;;N;
90;20/06/2012;17:00;36,09;;N;
91;21/06/2012;02:00;36,10;;N;
92;22/06/2012;12:00;36,11;;N;
93;23/06/2012;04:00;36,11;;N;
94;24/06/2012;01:00;36,11;;N;
95;25/06/2012;06:00;36,11;;N;
96;26/06/2012;12:00;36,11;;N;
97;27/06/2012;17:00;36,11;;N;
98;28/06/2012;16:00;36,11;;N;
99;29/06/2012;12:00;36,11;;N;
100;30/06/2012;04:00;36,12;;N;
101;01/07/2012;01:00;36,12;;N;
102;02/07/2012;06:00;36,12;;N;
103;03/07/2012;05:00;36,12;;N;
104;04/07/2012;01:00;36,12;;N;
105;05/07/2012;18:00;36,12;;N;
106;06/07/2012;00:00;36,13;;N;
107;07/07/2012;07:00;36,14;;N;
108;08/07/2012;12:00;36,13;;N;
109;09/07/2012;06:00;36,13;;N;
110;10/07/2012;01:00;36,13;;N;
111;11/07/2012;19:00;36,12;;N;
112;12/07/2012;07:00;36,14;;N;
113;13/07/2012;19:00;36,14;;N;
114;14/07/2012;19:00;36,14;;N;
115;15/07/2012;00:00;36,15;;N;
116;16/07/2012;07:00;36,15;;N;
117;17/07/2012;17:00;36,15;;N;
118;18/07/2012;18:00;36,15;;N;
119;19/07/2012;19:00;36,15;;N;
120;20/07/2012;05:00;36,15;;N;
121;21/07/2012;07:00;36,15;;N;
122;22/07/2012;06:00;36,16;;N;
123;23/07/2012;05:00;36,16;;N;
124;24/07/2012;05:00;36,16;;N;
125;25/07/2012;06:00;36,16;;N;
126;26/07/2012;00:00;36,17;;N;
127;27/07/2012;12:00;36,17;;N;
128;28/07/2012;06:00;36,17;;N;
129;29/07/2012;12:00;36,17;;N;
130;30/07/2012;13:00;36,18;;N;
131;31/07/2012;13:00;36,18;;N;
132;01/08/2012;05:00;36,18;;N;
133;02/08/2012;05:00;36,18;;N;
134;03/08/2012;13:00;36,18;;N;
135;04/08/2012;05:00;36,19;;N;
136;05/08/2012;06:00;36,19;;N;
137;06/08/2012;04:00;36,19;;N;
138;07/08/2012;07:00;36,19;;N;
139;08/08/2012;05:00;36,20;;N;
140;09/08/2012;05:00;36,20;;N;
141;10/08/2012;06:00;36,20;;N;
142;11/08/2012;05:00;36,20;;N;
143;12/08/2012;06:00;36,21;;N;
144;13/08/2012;04:00;36,21;;N;
145;14/08/2012;18:00;36,20;;N;
146;15/08/2012;01:00;36,21;;N;
147;16/08/2012;06:00;36,21;;N;
148;17/08/2012;19:00;36,21;;N;
149;18/08/2012;00:00;36,22;;N;
150;19/08/2012;05:00;36,22;;N;
151;20/08/2012;12:00;36,22;;N;
152;21/08/2012;18:00;36,22;;N;
153;22/08/2012;19:00;36,22;;N;
154;23/08/2012;06:00;36,22;;N;
155;24/08/2012;01:00;36,23;;N;
156;25/08/2012;06:00;36,23;;N;
157;26/08/2012;01:00;36,24;;N;
158;27/08/2012;00:00;36,24;;N;
159;28/08/2012;00:00;36,24;;N;
160;29/08/2012;19:00;36,23;;N;
161;30/08/2012;05:00;36,24;;N;
162;31/08/2012;05:00;36,24;;N;
