
Id Ponto:;3100020034
Consulta em:;06/09/2024 13:04:38
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;16/06/2011;19:00;27,49;;;
2;17/06/2011;2:00;27,51;;;
3;18/06/2011;6:00;27,51;;;
4;19/06/2011;20:00;27,49;;;
5;20/06/2011;20:00;27,49;;;
6;21/06/2011;6:00;27,51;;;
7;22/06/2011;4:00;27,54;;;
8;23/06/2011;7:00;27,54;;;
9;24/06/2011;13:00;27,53;;;
10;25/06/2011;20:00;27,54;;;
11;26/06/2011;1:00;27,55;;;
12;27/06/2011;2:00;27,58;;;
13;28/06/2011;3:00;27,59;;;
14;29/06/2011;5:00;27,58;;;
15;30/06/2011;14:00;27,58;;;
16;01/07/2011;14:00;27,60;;;
17;02/07/2011;14:00;27,61;;;
18;03/07/2011;19:00;27,63;;;
19;04/07/2011;14:00;27,66;;;
20;05/07/2011;1:00;27,66;;;
21;06/07/2011;5:00;27,67;;;
22;07/07/2011;0:00;27,68;;;
23;08/07/2011;1:00;27,69;;;
24;09/07/2011;6:00;27,70;;;
25;10/07/2011;19:00;27,72;;;
26;11/07/2011;2:00;27,73;;;
27;12/07/2011;6:00;27,74;;;
28;13/07/2011;2:00;27,75;;;
29;14/07/2011;0:00;27,74;;;
30;15/07/2011;0:00;27,76;;;
31;16/07/2011;1:00;27,79;;;
32;17/07/2011;4:00;27,80;;;
33;18/07/2011;3:00;27,80;;;
34;19/07/2011;1:00;27,83;;;
35;20/07/2011;14:00;27,84;;;
36;21/07/2011;15:00;27,86;;;
37;22/07/2011;18:00;27,90;;;
38;23/07/2011;17:00;27,92;;;
39;24/07/2011;0:00;27,96;;;
40;25/07/2011;13:00;27,95;;;
41;26/07/2011;20:00;27,96;;;
42;27/07/2011;3:00;27,95;;;
43;28/07/2011;1:00;27,94;;;
44;29/07/2011;0:00;27,94;;;
45;30/07/2011;19:00;27,95;;;
46;31/07/2011;20:00;27,97;;;
47;01/08/2011;19:00;27,98;;;
48;02/08/2011;21:00;28,00;;;
49;03/08/2011;9:00;28,06;;;
50;04/08/2011;22:00;28,13;;;
51;05/08/2011;20:00;28,11;;;
52;06/08/2011;5:00;28,12;;;
53;07/08/2011;1:00;28,14;;;
54;08/08/2011;2:00;28,14;;;
55;09/08/2011;2:00;28,14;;;
56;10/08/2011;18:00;28,15;;;
57;11/08/2011;1:00;28,17;;;
58;12/08/2011;20:00;28,19;;;
59;13/08/2011;0:00;28,20;;;
60;14/08/2011;6:00;28,22;;;
61;15/08/2011;1:00;28,23;;;
62;16/08/2011;21:00;28,26;;;
63;17/08/2011;6:00;28,27;;;
64;18/08/2011;13:00;28,25;;;
65;19/08/2011;14:00;28,26;;;
66;20/08/2011;14:00;28,31;;;
67;21/08/2011;0:00;28,38;;;
68;22/08/2011;23:00;28,38;;;
69;23/08/2011;14:00;28,39;;;
70;24/08/2011;5:00;28,41;;;
71;25/08/2011;7:00;28,43;;;
72;26/08/2011;6:00;28,45;;;
73;27/08/2011;1:00;28,45;;;
74;28/08/2011;5:00;28,46;;;
75;29/08/2011;1:00;28,46;;;
76;30/08/2011;1:00;28,47;;;
77;31/08/2011;9:00;28,53;;;
78;01/09/2011;0:00;28,57;;;
79;02/09/2011;22:00;28,58;;;
80;03/09/2011;19:00;28,58;;;
81;04/09/2011;0:00;28,60;;;
