# Processado em: 2025-03-12T19:29:20.684989
,data_da_medicao,niveldagua_m,date,tempo_s
0,06/04/2012,27.55,2012-04-06,386985600.0
1,07/04/2012,27.54,2012-04-07,387072000.0
2,08/04/2012,27.54,2012-04-08,387158400.0
3,09/04/2012,27.54,2012-04-09,387244800.0
4,10/04/2012,27.54,2012-04-10,387331200.0
5,11/04/2012,27.56,2012-04-11,387417600.0
6,12/04/2012,27.81,2012-04-12,387504000.0
7,13/04/2012,27.81,2012-04-13,387590400.0
8,14/04/2012,27.81,2012-04-14,387676800.0
9,15/04/2012,27.66,2012-04-15,387763200.0
10,16/04/2012,27.8,2012-04-16,387849600.0
11,17/04/2012,27.75,2012-04-17,387936000.0
12,18/04/2012,27.82,2012-04-18,388022400.0
13,19/04/2012,27.57,2012-04-19,388108800.0
14,20/04/2012,27.71,2012-04-20,388195200.0
15,21/04/2012,27.63,2012-04-21,388281600.0
16,22/04/2012,27.71,2012-04-22,388368000.0
17,23/04/2012,27.65,2012-04-23,388454400.0
18,24/04/2012,27.78,2012-04-24,388540800.0
19,25/04/2012,27.68,2012-04-25,388627200.0
20,26/04/2012,27.5,2012-04-26,388713600.0
21,27/04/2012,27.48,2012-04-27,388800000.0
22,28/04/2012,27.48,2012-04-28,388886400.0
23,29/04/2012,27.47,2012-04-29,388972800.0
24,30/04/2012,27.48,2012-04-30,389059200.0
25,01/05/2012,27.49,2012-05-01,389145600.0
26,02/05/2012,27.48,2012-05-02,389232000.0
27,03/05/2012,27.48,2012-05-03,389318400.0
28,04/05/2012,27.48,2012-05-04,389404800.0
29,05/05/2012,27.44,2012-05-05,389491200.0
30,06/05/2012,27.44,2012-05-06,389577600.0
31,07/05/2012,27.43,2012-05-07,389664000.0
32,08/05/2012,27.43,2012-05-08,389750400.0
33,09/05/2012,27.42,2012-05-09,389836800.0
34,10/05/2012,27.39,2012-05-10,389923200.0
35,11/05/2012,27.39,2012-05-11,390009600.0
36,12/05/2012,27.39,2012-05-12,390096000.0
37,13/05/2012,27.37,2012-05-13,390182400.0
38,14/05/2012,27.37,2012-05-14,390268800.0
39,15/05/2012,27.37,2012-05-15,390355200.0
40,16/05/2012,27.37,2012-05-16,390441600.0
41,17/05/2012,27.36,2012-05-17,390528000.0
42,18/05/2012,27.44,2012-05-18,390614400.0
43,19/05/2012,27.36,2012-05-19,390700800.0
44,20/05/2012,27.35,2012-05-20,390787200.0
45,21/05/2012,27.37,2012-05-21,390873600.0
46,22/05/2012,27.37,2012-05-22,390960000.0
47,23/05/2012,27.41,2012-05-23,391046400.0
48,24/05/2012,27.53,2012-05-24,391132800.0
49,25/05/2012,27.37,2012-05-25,391219200.0
50,26/05/2012,27.4,2012-05-26,391305600.0
51,27/05/2012,27.43,2012-05-27,391392000.0
52,28/05/2012,27.36,2012-05-28,391478400.0
53,29/05/2012,27.34,2012-05-29,391564800.0
54,30/05/2012,27.33,2012-05-30,391651200.0
55,31/05/2012,27.31,2012-05-31,391737600.0
56,01/06/2012,27.36,2012-06-01,391824000.0
57,02/06/2012,27.47,2012-06-02,391910400.0
58,03/06/2012,27.43,2012-06-03,391996800.0
59,04/06/2012,27.31,2012-06-04,392083200.0
60,05/06/2012,27.32,2012-06-05,392169600.0
61,06/06/2012,27.38,2012-06-06,392256000.0
62,07/06/2012,27.41,2012-06-07,392342400.0
63,08/06/2012,27.34,2012-06-08,392428800.0
64,09/06/2012,27.37,2012-06-09,392515200.0
65,10/06/2012,27.43,2012-06-10,392601600.0
66,11/06/2012,27.38,2012-06-11,392688000.0
67,12/06/2012,27.33,2012-06-12,392774400.0
68,13/06/2012,27.41,2012-06-13,392860800.0
69,14/06/2012,27.32,2012-06-14,392947200.0
70,15/06/2012,27.32,2012-06-15,393033600.0
71,16/06/2012,27.32,2012-06-16,393120000.0
72,17/06/2012,27.52,2012-06-17,393206400.0
73,18/06/2012,27.76,2012-06-18,393292800.0
74,19/06/2012,27.79,2012-06-19,393379200.0
75,20/06/2012,27.49,2012-06-20,393465600.0
76,21/06/2012,27.41,2012-06-21,393552000.0
77,22/06/2012,27.37,2012-06-22,393638400.0
78,23/06/2012,27.44,2012-06-23,393724800.0
79,24/06/2012,27.29,2012-06-24,393811200.0
80,25/06/2012,27.3,2012-06-25,393897600.0
81,26/06/2012,27.4,2012-06-26,393984000.0
82,27/06/2012,27.54,2012-06-27,394070400.0
83,28/06/2012,27.38,2012-06-28,394156800.0
84,29/06/2012,27.63,2012-06-29,394243200.0
85,30/06/2012,27.35,2012-06-30,394329600.0
86,01/07/2012,27.39,2012-07-01,394416000.0
87,02/07/2012,27.31,2012-07-02,394502400.0
88,03/07/2012,27.37,2012-07-03,394588800.0
89,04/07/2012,27.3,2012-07-04,394675200.0
90,05/07/2012,27.32,2012-07-05,394761600.0
91,06/07/2012,27.29,2012-07-06,394848000.0
92,07/07/2012,27.31,2012-07-07,394934400.0
93,08/07/2012,27.35,2012-07-08,395020800.0
94,09/07/2012,27.58,2012-07-09,395107200.0
95,10/07/2012,27.24,2012-07-10,395193600.0
96,11/07/2012,27.18,2012-07-11,395280000.0
97,12/07/2012,27.07,2012-07-12,395366400.0
98,13/07/2012,27.2,2012-07-13,395452800.0
99,14/07/2012,27.15,2012-07-14,395539200.0
100,15/07/2012,27.17,2012-07-15,395625600.0
101,16/07/2012,27.18,2012-07-16,395712000.0
102,17/07/2012,27.19,2012-07-17,395798400.0
103,18/07/2012,27.15,2012-07-18,395884800.0
104,19/07/2012,27.24,2012-07-19,395971200.0
105,20/07/2012,27.07,2012-07-20,396057600.0
106,21/07/2012,27.12,2012-07-21,396144000.0
107,22/07/2012,27.11,2012-07-22,396230400.0
108,23/07/2012,27.12,2012-07-23,396316800.0
109,24/07/2012,27.15,2012-07-24,396403200.0
110,25/07/2012,27.19,2012-07-25,396489600.0
111,26/07/2012,27.1,2012-07-26,396576000.0
112,27/07/2012,27.19,2012-07-27,396662400.0
113,28/07/2012,27.1,2012-07-28,396748800.0
114,29/07/2012,27.08,2012-07-29,396835200.0
115,30/07/2012,27.14,2012-07-30,396921600.0
116,31/07/2012,27.09,2012-07-31,397008000.0
117,01/08/2012,26.97,2012-08-01,397094400.0
118,02/08/2012,27.0,2012-08-02,397180800.0
119,03/08/2012,26.96,2012-08-03,397267200.0
120,04/08/2012,26.97,2012-08-04,397353600.0
121,05/08/2012,26.97,2012-08-05,397440000.0
122,06/08/2012,27.01,2012-08-06,397526400.0
123,07/08/2012,27.03,2012-08-07,397612800.0
124,08/08/2012,27.06,2012-08-08,397699200.0
125,09/08/2012,26.93,2012-08-09,397785600.0
126,10/08/2012,27.02,2012-08-10,397872000.0
127,11/08/2012,26.91,2012-08-11,397958400.0
128,12/08/2012,27.0,2012-08-12,398044800.0
129,13/08/2012,26.91,2012-08-13,398131200.0
130,14/08/2012,26.83,2012-08-14,398217600.0
131,15/08/2012,26.84,2012-08-15,398304000.0
132,16/08/2012,26.84,2012-08-16,398390400.0
133,17/08/2012,26.85,2012-08-17,398476800.0
134,18/08/2012,26.85,2012-08-18,398563200.0
135,19/08/2012,26.85,2012-08-19,398649600.0
136,20/08/2012,26.85,2012-08-20,398736000.0
137,21/08/2012,26.85,2012-08-21,398822400.0
138,22/08/2012,26.82,2012-08-22,398908800.0
139,23/08/2012,26.82,2012-08-23,398995200.0
140,24/08/2012,26.8,2012-08-24,399081600.0
141,25/08/2012,26.8,2012-08-25,399168000.0
142,26/08/2012,26.85,2012-08-26,399254400.0
143,27/08/2012,26.8,2012-08-27,399340800.0
144,28/08/2012,26.78,2012-08-28,399427200.0
145,29/08/2012,26.77,2012-08-29,399513600.0
146,30/08/2012,26.77,2012-08-30,399600000.0
147,31/08/2012,26.76,2012-08-31,399686400.0
148,01/09/2012,26.75,2012-09-01,399772800.0
149,02/09/2012,26.74,2012-09-02,399859200.0
150,03/09/2012,26.75,2012-09-03,399945600.0
151,04/09/2012,26.74,2012-09-04,400032000.0
152,05/09/2012,26.75,2012-09-05,400118400.0
153,06/09/2012,26.73,2012-09-06,400204800.0
154,07/09/2012,26.72,2012-09-07,400291200.0
155,08/09/2012,26.72,2012-09-08,400377600.0
156,09/09/2012,26.72,2012-09-09,400464000.0
157,10/09/2012,26.69,2012-09-10,400550400.0
158,11/09/2012,26.66,2012-09-11,400636800.0
159,12/09/2012,26.65,2012-09-12,400723200.0
160,13/09/2012,26.65,2012-09-13,400809600.0
161,14/09/2012,26.65,2012-09-14,400896000.0
162,15/09/2012,26.65,2012-09-15,400982400.0
163,16/09/2012,26.65,2012-09-16,401068800.0
164,17/09/2012,26.64,2012-09-17,401155200.0
165,18/09/2012,26.63,2012-09-18,401241600.0
166,19/09/2012,26.65,2012-09-19,401328000.0
167,20/09/2012,26.63,2012-09-20,401414400.0
168,21/09/2012,26.74,2012-09-21,401500800.0
169,22/09/2012,26.68,2012-09-22,401587200.0
170,23/09/2012,26.61,2012-09-23,401673600.0
171,24/09/2012,26.64,2012-09-24,401760000.0
172,25/09/2012,26.62,2012-09-25,401846400.0
173,26/09/2012,26.62,2012-09-26,401932800.0
174,27/09/2012,26.74,2012-09-27,402019200.0
175,28/09/2012,26.64,2012-09-28,402105600.0
176,29/09/2012,26.68,2012-09-29,402192000.0
177,30/09/2012,26.6,2012-09-30,402278400.0
178,01/10/2012,26.59,2012-10-01,402364800.0
179,02/10/2012,26.56,2012-10-02,402451200.0
180,03/10/2012,26.59,2012-10-03,402537600.0
181,04/10/2012,26.6,2012-10-04,402624000.0
182,05/10/2012,26.6,2012-10-05,402710400.0
183,06/10/2012,26.53,2012-10-06,402796800.0
184,07/10/2012,26.62,2012-10-07,402883200.0
185,08/10/2012,26.62,2012-10-08,402969600.0
186,09/10/2012,26.6,2012-10-09,403056000.0
187,10/10/2012,26.5,2012-10-10,403142400.0
188,11/10/2012,26.59,2012-10-11,403228800.0
189,12/10/2012,26.51,2012-10-12,403315200.0
190,13/10/2012,26.53,2012-10-13,403401600.0
191,14/10/2012,26.5,2012-10-14,403488000.0
192,15/10/2012,26.5,2012-10-15,403574400.0
193,16/10/2012,26.47,2012-10-16,403660800.0
194,17/10/2012,26.48,2012-10-17,403747200.0
195,18/10/2012,26.56,2012-10-18,403833600.0
196,19/10/2012,26.5,2012-10-19,403920000.0
197,20/10/2012,26.48,2012-10-20,404006400.0
198,21/10/2012,26.47,2012-10-21,404092800.0
199,22/10/2012,26.43,2012-10-22,404179200.0
200,23/10/2012,26.41,2012-10-23,404265600.0
201,24/10/2012,26.43,2012-10-24,404352000.0
202,25/10/2012,26.41,2012-10-25,404438400.0
203,26/10/2012,26.42,2012-10-26,404524800.0
204,27/10/2012,26.4,2012-10-27,404611200.0
205,28/10/2012,26.4,2012-10-28,404697600.0
206,29/10/2012,26.39,2012-10-29,404784000.0
207,30/10/2012,26.37,2012-10-30,404870400.0
208,31/10/2012,26.36,2012-10-31,404956800.0
209,01/11/2012,26.35,2012-11-01,405043200.0
210,02/11/2012,26.34,2012-11-02,405129600.0
211,03/11/2012,26.34,2012-11-03,405216000.0
212,04/11/2012,26.34,2012-11-04,405302400.0
213,05/11/2012,26.33,2012-11-05,405388800.0
214,06/11/2012,26.33,2012-11-06,405475200.0
215,07/11/2012,26.33,2012-11-07,405561600.0
216,08/11/2012,26.31,2012-11-08,405648000.0
217,09/11/2012,26.29,2012-11-09,405734400.0
218,10/11/2012,26.29,2012-11-10,405820800.0
219,11/11/2012,26.3,2012-11-11,405907200.0
220,12/11/2012,26.3,2012-11-12,405993600.0
221,13/11/2012,26.29,2012-11-13,406080000.0
222,14/11/2012,26.27,2012-11-14,406166400.0
223,15/11/2012,26.27,2012-11-15,406252800.0
224,16/11/2012,26.28,2012-11-16,406339200.0
225,17/11/2012,26.63,2012-11-17,406425600.0
226,18/11/2012,26.27,2012-11-18,406512000.0
227,19/11/2012,26.32,2012-11-19,406598400.0
228,20/11/2012,26.26,2012-11-20,406684800.0
229,21/11/2012,26.25,2012-11-21,406771200.0
230,22/11/2012,26.26,2012-11-22,406857600.0
231,23/11/2012,26.29,2012-11-23,406944000.0
232,24/11/2012,26.3,2012-11-24,407030400.0
233,25/11/2012,26.31,2012-11-25,407116800.0
234,26/11/2012,26.31,2012-11-26,407203200.0
235,27/11/2012,26.23,2012-11-27,407289600.0
