# Processado em: 2025-10-29T23:25:59.821694
,data_da_medicao,niveldagua_m,date,tempo_s
0,28/03/2012,28.18,2012-03-28,386208000.0
1,29/03/2012,28.19,2012-03-29,386294400.0
2,30/03/2012,28.19,2012-03-30,386380800.0
3,31/03/2012,28.19,2012-03-31,386467200.0
4,01/04/2012,28.18,2012-04-01,386553600.0
5,02/04/2012,28.18,2012-04-02,386640000.0
6,03/04/2012,28.18,2012-04-03,386726400.0
7,04/04/2012,28.17,2012-04-04,386812800.0
8,05/04/2012,28.16,2012-04-05,386899200.0
9,06/04/2012,28.17,2012-04-06,386985600.0
10,07/04/2012,28.16,2012-04-07,387072000.0
11,08/04/2012,28.16,2012-04-08,387158400.0
12,09/04/2012,28.17,2012-04-09,387244800.0
13,10/04/2012,28.17,2012-04-10,387331200.0
14,11/04/2012,28.18,2012-04-11,387417600.0
15,12/04/2012,28.16,2012-04-12,387504000.0
16,13/04/2012,28.15,2012-04-13,387590400.0
17,14/04/2012,28.15,2012-04-14,387676800.0
18,15/04/2012,28.16,2012-04-15,387763200.0
19,16/04/2012,28.16,2012-04-16,387849600.0
20,17/04/2012,28.17,2012-04-17,387936000.0
21,18/04/2012,28.16,2012-04-18,388022400.0
22,19/04/2012,28.15,2012-04-19,388108800.0
23,20/04/2012,28.14,2012-04-20,388195200.0
24,21/04/2012,28.16,2012-04-21,388281600.0
25,22/04/2012,28.17,2012-04-22,388368000.0
26,23/04/2012,28.17,2012-04-23,388454400.0
27,24/04/2012,28.15,2012-04-24,388540800.0
28,25/04/2012,28.14,2012-04-25,388627200.0
29,26/04/2012,28.12,2012-04-26,388713600.0
30,27/04/2012,28.15,2012-04-27,388800000.0
31,28/04/2012,28.14,2012-04-28,388886400.0
32,29/04/2012,28.15,2012-04-29,388972800.0
33,30/04/2012,28.17,2012-04-30,389059200.0
34,01/05/2012,28.17,2012-05-01,389145600.0
35,02/05/2012,28.16,2012-05-02,389232000.0
36,03/05/2012,28.16,2012-05-03,389318400.0
37,04/05/2012,28.15,2012-05-04,389404800.0
38,05/05/2012,28.14,2012-05-05,389491200.0
39,06/05/2012,28.14,2012-05-06,389577600.0
40,07/05/2012,28.15,2012-05-07,389664000.0
41,08/05/2012,28.15,2012-05-08,389750400.0
42,09/05/2012,28.12,2012-05-09,389836800.0
43,10/05/2012,28.11,2012-05-10,389923200.0
44,11/05/2012,28.1,2012-05-11,390009600.0
45,12/05/2012,28.11,2012-05-12,390096000.0
46,13/05/2012,28.11,2012-05-13,390182400.0
47,14/05/2012,28.13,2012-05-14,390268800.0
48,15/05/2012,28.14,2012-05-15,390355200.0
49,16/05/2012,28.13,2012-05-16,390441600.0
50,17/05/2012,28.12,2012-05-17,390528000.0
51,18/05/2012,28.12,2012-05-18,390614400.0
52,19/05/2012,28.12,2012-05-19,390700800.0
53,20/05/2012,28.11,2012-05-20,390787200.0
54,21/05/2012,28.11,2012-05-21,390873600.0
55,22/05/2012,28.11,2012-05-22,390960000.0
56,23/05/2012,28.1,2012-05-23,391046400.0
57,24/05/2012,28.08,2012-05-24,391132800.0
58,25/05/2012,28.09,2012-05-25,391219200.0
59,26/05/2012,28.09,2012-05-26,391305600.0
60,27/05/2012,28.09,2012-05-27,391392000.0
61,28/05/2012,28.1,2012-05-28,391478400.0
62,29/05/2012,28.09,2012-05-29,391564800.0
63,30/05/2012,28.07,2012-05-30,391651200.0
64,31/05/2012,28.08,2012-05-31,391737600.0
65,01/06/2012,28.08,2012-06-01,391824000.0
66,02/06/2012,28.07,2012-06-02,391910400.0
67,03/06/2012,28.05,2012-06-03,391996800.0
68,04/06/2012,28.04,2012-06-04,392083200.0
69,05/06/2012,28.08,2012-06-05,392169600.0
70,06/06/2012,28.1,2012-06-06,392256000.0
71,07/06/2012,28.1,2012-06-07,392342400.0
72,08/06/2012,28.08,2012-06-08,392428800.0
73,09/06/2012,28.08,2012-06-09,392515200.0
74,10/06/2012,28.06,2012-06-10,392601600.0
75,11/06/2012,28.05,2012-06-11,392688000.0
76,12/06/2012,28.05,2012-06-12,392774400.0
77,13/06/2012,28.05,2012-06-13,392860800.0
78,14/06/2012,28.05,2012-06-14,392947200.0
79,15/06/2012,28.04,2012-06-15,393033600.0
80,16/06/2012,28.04,2012-06-16,393120000.0
81,17/06/2012,28.02,2012-06-17,393206400.0
82,18/06/2012,28.0,2012-06-18,393292800.0
83,19/06/2012,27.99,2012-06-19,393379200.0
84,20/06/2012,27.99,2012-06-20,393465600.0
85,21/06/2012,28.0,2012-06-21,393552000.0
86,22/06/2012,28.03,2012-06-22,393638400.0
87,23/06/2012,28.03,2012-06-23,393724800.0
88,24/06/2012,28.02,2012-06-24,393811200.0
89,25/06/2012,28.0,2012-06-25,393897600.0
90,26/06/2012,27.99,2012-06-26,393984000.0
91,27/06/2012,27.97,2012-06-27,394070400.0
92,28/06/2012,27.96,2012-06-28,394156800.0
93,29/06/2012,27.95,2012-06-29,394243200.0
94,30/06/2012,27.94,2012-06-30,394329600.0
95,01/07/2012,27.92,2012-07-01,394416000.0
96,02/07/2012,27.91,2012-07-02,394502400.0
97,03/07/2012,27.9,2012-07-03,394588800.0
98,04/07/2012,27.87,2012-07-04,394675200.0
99,05/07/2012,27.87,2012-07-05,394761600.0
100,06/07/2012,27.86,2012-07-06,394848000.0
101,07/07/2012,27.88,2012-07-07,394934400.0
102,08/07/2012,27.87,2012-07-08,395020800.0
103,09/07/2012,27.84,2012-07-09,395107200.0
104,10/07/2012,27.81,2012-07-10,395193600.0
105,11/07/2012,27.78,2012-07-11,395280000.0
106,12/07/2012,27.78,2012-07-12,395366400.0
107,13/07/2012,27.8,2012-07-13,395452800.0
108,14/07/2012,27.79,2012-07-14,395539200.0
109,15/07/2012,27.78,2012-07-15,395625600.0
110,16/07/2012,27.77,2012-07-16,395712000.0
111,17/07/2012,27.75,2012-07-17,395798400.0
112,18/07/2012,27.74,2012-07-18,395884800.0
113,19/07/2012,27.72,2012-07-19,395971200.0
114,20/07/2012,27.69,2012-07-20,396057600.0
115,21/07/2012,27.67,2012-07-21,396144000.0
116,22/07/2012,27.67,2012-07-22,396230400.0
117,23/07/2012,27.66,2012-07-23,396316800.0
118,24/07/2012,27.64,2012-07-24,396403200.0
119,25/07/2012,27.62,2012-07-25,396489600.0
120,26/07/2012,27.61,2012-07-26,396576000.0
121,27/07/2012,27.6,2012-07-27,396662400.0
122,28/07/2012,27.58,2012-07-28,396748800.0
123,29/07/2012,27.56,2012-07-29,396835200.0
124,30/07/2012,27.57,2012-07-30,396921600.0
125,31/07/2012,27.57,2012-07-31,397008000.0
126,01/08/2012,27.55,2012-08-01,397094400.0
127,02/08/2012,27.52,2012-08-02,397180800.0
128,03/08/2012,27.51,2012-08-03,397267200.0
129,04/08/2012,27.5,2012-08-04,397353600.0
130,05/08/2012,27.49,2012-08-05,397440000.0
131,06/08/2012,27.47,2012-08-06,397526400.0
132,07/08/2012,27.46,2012-08-07,397612800.0
133,08/08/2012,27.46,2012-08-08,397699200.0
134,09/08/2012,27.46,2012-08-09,397785600.0
135,10/08/2012,27.42,2012-08-10,397872000.0
136,11/08/2012,27.4,2012-08-11,397958400.0
137,12/08/2012,27.4,2012-08-12,398044800.0
138,13/08/2012,27.39,2012-08-13,398131200.0
139,14/08/2012,27.36,2012-08-14,398217600.0
140,15/08/2012,27.35,2012-08-15,398304000.0
141,16/08/2012,27.34,2012-08-16,398390400.0
142,17/08/2012,27.33,2012-08-17,398476800.0
143,18/08/2012,27.33,2012-08-18,398563200.0
144,19/08/2012,27.32,2012-08-19,398649600.0
145,20/08/2012,27.3,2012-08-20,398736000.0
146,21/08/2012,27.29,2012-08-21,398822400.0
147,22/08/2012,27.27,2012-08-22,398908800.0
148,23/08/2012,27.26,2012-08-23,398995200.0
149,24/08/2012,27.25,2012-08-24,399081600.0
150,25/08/2012,27.24,2012-08-25,399168000.0
151,26/08/2012,27.25,2012-08-26,399254400.0
152,27/08/2012,27.23,2012-08-27,399340800.0
153,28/08/2012,27.22,2012-08-28,399427200.0
154,29/08/2012,27.19,2012-08-29,399513600.0
155,30/08/2012,27.19,2012-08-30,399600000.0
156,31/08/2012,27.17,2012-08-31,399686400.0
157,01/09/2012,27.16,2012-09-01,399772800.0
158,02/09/2012,27.15,2012-09-02,399859200.0
159,03/09/2012,27.15,2012-09-03,399945600.0
160,04/09/2012,27.15,2012-09-04,400032000.0
161,05/09/2012,27.13,2012-09-05,400118400.0
162,06/09/2012,27.12,2012-09-06,400204800.0
163,07/09/2012,27.12,2012-09-07,400291200.0
164,08/09/2012,27.12,2012-09-08,400377600.0
165,09/09/2012,27.11,2012-09-09,400464000.0
166,10/09/2012,27.09,2012-09-10,400550400.0
167,11/09/2012,27.08,2012-09-11,400636800.0
168,12/09/2012,27.08,2012-09-12,400723200.0
169,13/09/2012,27.08,2012-09-13,400809600.0
170,14/09/2012,27.08,2012-09-14,400896000.0
171,15/09/2012,27.07,2012-09-15,400982400.0
172,16/09/2012,27.05,2012-09-16,401068800.0
173,17/09/2012,27.05,2012-09-17,401155200.0
174,18/09/2012,27.03,2012-09-18,401241600.0
175,19/09/2012,27.04,2012-09-19,401328000.0
176,20/09/2012,27.04,2012-09-20,401414400.0
