# Processado em: 2025-02-24T19:06:54.116611
,data_da_medicao,niveldagua_m,date,tempo_s
0,18/07/2011,10.15,2011-07-18,364262400.0
1,19/07/2011,10.15,2011-07-19,364348800.0
2,20/07/2011,10.15,2011-07-20,364435200.0
3,21/07/2011,10.16,2011-07-21,364521600.0
4,22/07/2011,10.16,2011-07-22,364608000.0
5,23/07/2011,10.16,2011-07-23,364694400.0
6,24/07/2011,10.17,2011-07-24,364780800.0
7,25/07/2011,10.17,2011-07-25,364867200.0
8,26/07/2011,10.17,2011-07-26,364953600.0
9,27/07/2011,10.18,2011-07-27,365040000.0
10,28/07/2011,10.18,2011-07-28,365126400.0
11,29/07/2011,10.18,2011-07-29,365212800.0
12,30/07/2011,10.18,2011-07-30,365299200.0
13,31/07/2011,10.19,2011-07-31,365385600.0
14,01/08/2011,10.19,2011-08-01,365472000.0
15,02/08/2011,10.19,2011-08-02,365558400.0
16,03/08/2011,10.2,2011-08-03,365644800.0
17,04/08/2011,10.2,2011-08-04,365731200.0
18,05/08/2011,10.21,2011-08-05,365817600.0
19,06/08/2011,10.21,2011-08-06,365904000.0
20,07/08/2011,10.21,2011-08-07,365990400.0
21,08/08/2011,10.22,2011-08-08,366076800.0
22,09/08/2011,10.22,2011-08-09,366163200.0
23,10/08/2011,10.22,2011-08-10,366249600.0
24,11/08/2011,10.23,2011-08-11,366336000.0
25,12/08/2011,10.23,2011-08-12,366422400.0
26,13/08/2011,10.23,2011-08-13,366508800.0
27,14/08/2011,10.24,2011-08-14,366595200.0
28,15/08/2011,10.24,2011-08-15,366681600.0
29,16/08/2011,10.24,2011-08-16,366768000.0
30,17/08/2011,10.25,2011-08-17,366854400.0
31,18/08/2011,10.25,2011-08-18,366940800.0
32,19/08/2011,10.25,2011-08-19,367027200.0
33,20/08/2011,10.26,2011-08-20,367113600.0
34,21/08/2011,10.26,2011-08-21,367200000.0
35,22/08/2011,10.26,2011-08-22,367286400.0
36,23/08/2011,10.27,2011-08-23,367372800.0
37,24/08/2011,10.27,2011-08-24,367459200.0
38,25/08/2011,10.28,2011-08-25,367545600.0
39,26/08/2011,10.28,2011-08-26,367632000.0
40,27/08/2011,10.28,2011-08-27,367718400.0
41,28/08/2011,10.29,2011-08-28,367804800.0
42,29/08/2011,10.29,2011-08-29,367891200.0
43,30/08/2011,10.29,2011-08-30,367977600.0
44,31/08/2011,10.3,2011-08-31,368064000.0
45,01/09/2011,10.3,2011-09-01,368150400.0
46,02/09/2011,10.3,2011-09-02,368236800.0
47,03/09/2011,10.31,2011-09-03,368323200.0
48,04/09/2011,10.31,2011-09-04,368409600.0
49,05/09/2011,10.31,2011-09-05,368496000.0
50,06/09/2011,10.32,2011-09-06,368582400.0
51,07/09/2011,10.32,2011-09-07,368668800.0
52,08/09/2011,10.32,2011-09-08,368755200.0
53,09/09/2011,10.33,2011-09-09,368841600.0
54,10/09/2011,10.33,2011-09-10,368928000.0
55,11/09/2011,10.34,2011-09-11,369014400.0
56,12/09/2011,10.34,2011-09-12,369100800.0
57,13/09/2011,10.34,2011-09-13,369187200.0
58,14/09/2011,10.35,2011-09-14,369273600.0
59,15/09/2011,10.35,2011-09-15,369360000.0
60,16/09/2011,10.35,2011-09-16,369446400.0
61,17/09/2011,10.36,2011-09-17,369532800.0
62,18/09/2011,10.36,2011-09-18,369619200.0
63,19/09/2011,10.36,2011-09-19,369705600.0
64,20/09/2011,10.37,2011-09-20,369792000.0
65,21/09/2011,10.37,2011-09-21,369878400.0
66,22/09/2011,10.37,2011-09-22,369964800.0
67,23/09/2011,10.38,2011-09-23,370051200.0
68,24/09/2011,10.38,2011-09-24,370137600.0
69,25/09/2011,10.38,2011-09-25,370224000.0
70,26/09/2011,10.39,2011-09-26,370310400.0
71,27/09/2011,10.39,2011-09-27,370396800.0
72,28/09/2011,10.39,2011-09-28,370483200.0
73,29/09/2011,10.4,2011-09-29,370569600.0
74,30/09/2011,10.4,2011-09-30,370656000.0
75,01/10/2011,10.4,2011-10-01,370742400.0
76,02/10/2011,10.41,2011-10-02,370828800.0
77,03/10/2011,10.41,2011-10-03,370915200.0
78,04/10/2011,10.41,2011-10-04,371001600.0
79,05/10/2011,10.42,2011-10-05,371088000.0
80,06/10/2011,10.42,2011-10-06,371174400.0
81,07/10/2011,10.42,2011-10-07,371260800.0
82,08/10/2011,10.43,2011-10-08,371347200.0
83,09/10/2011,10.43,2011-10-09,371433600.0
84,10/10/2011,10.42,2011-10-10,371520000.0
85,11/10/2011,10.4,2011-10-11,371606400.0
86,12/10/2011,10.38,2011-10-12,371692800.0
87,13/10/2011,10.37,2011-10-13,371779200.0
88,14/10/2011,10.37,2011-10-14,371865600.0
89,15/10/2011,10.36,2011-10-15,371952000.0
90,16/10/2011,10.3,2011-10-16,372038400.0
91,17/10/2011,10.2,2011-10-17,372124800.0
92,18/10/2011,10.14,2011-10-18,372211200.0
93,19/10/2011,10.09,2011-10-19,372297600.0
94,20/10/2011,10.05,2011-10-20,372384000.0
95,21/10/2011,10.03,2011-10-21,372470400.0
96,22/10/2011,10.01,2011-10-22,372556800.0
97,23/10/2011,10.0,2011-10-23,372643200.0
98,24/10/2011,9.99,2011-10-24,372729600.0
99,25/10/2011,9.98,2011-10-25,372816000.0
100,26/10/2011,9.98,2011-10-26,372902400.0
101,27/10/2011,9.98,2011-10-27,372988800.0
102,28/10/2011,9.97,2011-10-28,373075200.0
103,29/10/2011,9.97,2011-10-29,373161600.0
104,30/10/2011,9.97,2011-10-30,373248000.0
105,31/10/2011,9.97,2011-10-31,373334400.0
106,01/11/2011,9.98,2011-11-01,373420800.0
107,02/11/2011,9.98,2011-11-02,373507200.0
108,03/11/2011,9.98,2011-11-03,373593600.0
109,04/11/2011,9.98,2011-11-04,373680000.0
110,05/11/2011,9.98,2011-11-05,373766400.0
111,06/11/2011,9.98,2011-11-06,373852800.0
112,07/11/2011,9.99,2011-11-07,373939200.0
113,08/11/2011,9.99,2011-11-08,374025600.0
114,09/11/2011,9.99,2011-11-09,374112000.0
115,10/11/2011,10.0,2011-11-10,374198400.0
116,11/11/2011,10.0,2011-11-11,374284800.0
117,12/11/2011,10.0,2011-11-12,374371200.0
118,13/11/2011,10.01,2011-11-13,374457600.0
119,14/11/2011,10.01,2011-11-14,374544000.0
120,15/11/2011,10.01,2011-11-15,374630400.0
121,16/11/2011,10.01,2011-11-16,374716800.0
122,17/11/2011,10.01,2011-11-17,374803200.0
123,18/11/2011,10.01,2011-11-18,374889600.0
124,19/11/2011,10.01,2011-11-19,374976000.0
125,20/11/2011,10.01,2011-11-20,375062400.0
126,21/11/2011,10.01,2011-11-21,375148800.0
127,22/11/2011,10.01,2011-11-22,375235200.0
128,23/11/2011,10.02,2011-11-23,375321600.0
129,24/11/2011,10.02,2011-11-24,375408000.0
130,25/11/2011,10.02,2011-11-25,375494400.0
131,26/11/2011,10.02,2011-11-26,375580800.0
132,27/11/2011,10.03,2011-11-27,375667200.0
133,28/11/2011,10.03,2011-11-28,375753600.0
134,29/11/2011,10.03,2011-11-29,375840000.0
135,30/11/2011,10.03,2011-11-30,375926400.0
136,01/12/2011,10.03,2011-12-01,376012800.0
137,02/12/2011,10.04,2011-12-02,376099200.0
138,03/12/2011,10.04,2011-12-03,376185600.0
139,04/12/2011,10.05,2011-12-04,376272000.0
140,05/12/2011,10.05,2011-12-05,376358400.0
141,06/12/2011,10.06,2011-12-06,376444800.0
142,07/12/2011,10.06,2011-12-07,376531200.0
143,08/12/2011,10.06,2011-12-08,376617600.0
144,09/12/2011,10.07,2011-12-09,376704000.0
145,10/12/2011,10.07,2011-12-10,376790400.0
146,11/12/2011,10.07,2011-12-11,376876800.0
147,12/12/2011,10.08,2011-12-12,376963200.0
148,13/12/2011,10.08,2011-12-13,377049600.0
149,14/12/2011,10.08,2011-12-14,377136000.0
150,15/12/2011,10.09,2011-12-15,377222400.0
151,16/12/2011,10.09,2011-12-16,377308800.0
152,17/12/2011,10.1,2011-12-17,377395200.0
153,18/12/2011,10.1,2011-12-18,377481600.0
154,19/12/2011,10.11,2011-12-19,377568000.0
155,20/12/2011,10.11,2011-12-20,377654400.0
156,21/12/2011,10.12,2011-12-21,377740800.0
157,22/12/2011,10.12,2011-12-22,377827200.0
158,23/12/2011,10.12,2011-12-23,377913600.0
159,24/12/2011,10.13,2011-12-24,378000000.0
160,25/12/2011,10.14,2011-12-25,378086400.0
