# Processado em: 2025-02-11T15:06:02.394681
,data_da_medicao,niveldagua_m,date,tempo_s
0,24/07/2011,6.47,2011-07-24,364780800.0
1,25/07/2011,6.46,2011-07-25,364867200.0
2,26/07/2011,6.48,2011-07-26,364953600.0
3,27/07/2011,6.47,2011-07-27,365040000.0
4,28/07/2011,6.46,2011-07-28,365126400.0
5,29/07/2011,6.47,2011-07-29,365212800.0
6,30/07/2011,6.47,2011-07-30,365299200.0
7,31/07/2011,6.46,2011-07-31,365385600.0
8,01/08/2011,6.47,2011-08-01,365472000.0
9,02/08/2011,6.47,2011-08-02,365558400.0
10,03/08/2011,6.48,2011-08-03,365644800.0
11,04/08/2011,6.48,2011-08-04,365731200.0
12,05/08/2011,6.46,2011-08-05,365817600.0
13,06/08/2011,6.47,2011-08-06,365904000.0
14,07/08/2011,6.47,2011-08-07,365990400.0
15,08/08/2011,6.48,2011-08-08,366076800.0
16,09/08/2011,6.49,2011-08-09,366163200.0
17,10/08/2011,6.5,2011-08-10,366249600.0
18,11/08/2011,6.5,2011-08-11,366336000.0
19,12/08/2011,6.52,2011-08-12,366422400.0
20,13/08/2011,6.53,2011-08-13,366508800.0
21,14/08/2011,6.52,2011-08-14,366595200.0
22,15/08/2011,6.53,2011-08-15,366681600.0
23,16/08/2011,6.54,2011-08-16,366768000.0
24,17/08/2011,6.54,2011-08-17,366854400.0
25,18/08/2011,6.52,2011-08-18,366940800.0
26,19/08/2011,6.54,2011-08-19,367027200.0
27,20/08/2011,6.56,2011-08-20,367113600.0
28,21/08/2011,6.54,2011-08-21,367200000.0
29,22/08/2011,6.52,2011-08-22,367286400.0
30,23/08/2011,6.54,2011-08-23,367372800.0
31,24/08/2011,6.53,2011-08-24,367459200.0
32,25/08/2011,6.54,2011-08-25,367545600.0
33,26/08/2011,6.56,2011-08-26,367632000.0
34,27/08/2011,6.54,2011-08-27,367718400.0
35,28/08/2011,6.55,2011-08-28,367804800.0
36,29/08/2011,6.58,2011-08-29,367891200.0
37,30/08/2011,6.59,2011-08-30,367977600.0
38,31/08/2011,6.61,2011-08-31,368064000.0
39,01/09/2011,6.6,2011-09-01,368150400.0
40,02/09/2011,6.6,2011-09-02,368236800.0
41,03/09/2011,6.6,2011-09-03,368323200.0
42,04/09/2011,6.6,2011-09-04,368409600.0
43,05/09/2011,6.61,2011-09-05,368496000.0
44,06/09/2011,6.62,2011-09-06,368582400.0
45,07/09/2011,6.61,2011-09-07,368668800.0
46,08/09/2011,6.61,2011-09-08,368755200.0
47,09/09/2011,6.58,2011-09-09,368841600.0
48,10/09/2011,6.57,2011-09-10,368928000.0
49,11/09/2011,6.59,2011-09-11,369014400.0
50,12/09/2011,6.58,2011-09-12,369100800.0
51,13/09/2011,6.57,2011-09-13,369187200.0
52,14/09/2011,6.58,2011-09-14,369273600.0
53,15/09/2011,6.59,2011-09-15,369360000.0
54,16/09/2011,6.59,2011-09-16,369446400.0
55,17/09/2011,6.6,2011-09-17,369532800.0
56,18/09/2011,6.59,2011-09-18,369619200.0
57,19/09/2011,6.6,2011-09-19,369705600.0
58,20/09/2011,6.6,2011-09-20,369792000.0
59,21/09/2011,6.61,2011-09-21,369878400.0
60,22/09/2011,6.6,2011-09-22,369964800.0
61,23/09/2011,6.58,2011-09-23,370051200.0
62,24/09/2011,6.58,2011-09-24,370137600.0
63,25/09/2011,6.55,2011-09-25,370224000.0
64,26/09/2011,6.57,2011-09-26,370310400.0
65,27/09/2011,6.57,2011-09-27,370396800.0
66,28/09/2011,6.57,2011-09-28,370483200.0
67,29/09/2011,6.58,2011-09-29,370569600.0
68,30/09/2011,6.58,2011-09-30,370656000.0
69,01/10/2011,6.59,2011-10-01,370742400.0
70,02/10/2011,6.59,2011-10-02,370828800.0
71,03/10/2011,6.58,2011-10-03,370915200.0
72,04/10/2011,6.58,2011-10-04,371001600.0
73,05/10/2011,6.6,2011-10-05,371088000.0
74,06/10/2011,6.6,2011-10-06,371174400.0
75,07/10/2011,6.61,2011-10-07,371260800.0
76,08/10/2011,6.61,2011-10-08,371347200.0
77,09/10/2011,6.61,2011-10-09,371433600.0
78,10/10/2011,6.63,2011-10-10,371520000.0
79,11/10/2011,6.63,2011-10-11,371606400.0
80,12/10/2011,6.6,2011-10-12,371692800.0
81,13/10/2011,6.62,2011-10-13,371779200.0
82,14/10/2011,6.62,2011-10-14,371865600.0
83,15/10/2011,6.61,2011-10-15,371952000.0
84,16/10/2011,6.61,2011-10-16,372038400.0
85,17/10/2011,6.63,2011-10-17,372124800.0
86,18/10/2011,6.63,2011-10-18,372211200.0
87,19/10/2011,6.64,2011-10-19,372297600.0
88,20/10/2011,6.65,2011-10-20,372384000.0
