
Id Ponto:;3500028109
Consulta em:;06/09/2024 15:41:18
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;26/07/2011;20:00;22,29;;N;
2;27/07/2011;04:00;22,28;;N;
3;28/07/2011;05:00;22,26;;N;
4;29/07/2011;21:00;22,26;;N;
5;30/07/2011;07:00;22,26;;N;
6;31/07/2011;21:00;22,27;;N;
7;01/08/2011;13:00;22,27;;N;
8;02/08/2011;03:00;22,31;;N;
9;03/08/2011;18:00;22,33;;N;
10;04/08/2011;05:00;22,33;;N;
11;05/08/2011;05:00;22,30;;N;
12;06/08/2011;03:00;22,29;;N;
13;07/08/2011;21:00;22,28;;N;
14;08/08/2011;04:00;22,28;;N;
15;09/08/2011;20:00;22,28;;N;
16;10/08/2011;06:00;22,27;;N;
17;11/08/2011;05:00;22,27;;N;
18;12/08/2011;21:00;22,26;;N;
19;13/08/2011;20:00;22,27;;N;
20;14/08/2011;23:00;22,28;;N;
21;15/08/2011;22:00;22,27;;N;
22;16/08/2011;04:00;22,28;;N;
23;17/08/2011;06:00;22,28;;N;
24;18/08/2011;06:00;22,27;;N;
25;19/08/2011;02:00;22,26;;N;
26;20/08/2011;07:00;22,35;;N;
27;21/08/2011;05:00;22,35;;N;
28;22/08/2011;04:00;22,32;;N;
29;23/08/2011;00:00;22,32;;N;
30;24/08/2011;02:00;22,32;;N;
31;25/08/2011;01:00;22,31;;N;
32;26/08/2011;22:00;22,30;;N;
33;27/08/2011;03:00;22,29;;N;
34;28/08/2011;01:00;22,30;;N;
35;29/08/2011;00:00;22,30;;N;
36;30/08/2011;19:00;22,30;;N;
37;31/08/2011;07:00;22,34;;N;
38;01/09/2011;06:00;22,35;;N;
39;02/09/2011;05:00;22,34;;N;
40;03/09/2011;03:00;22,32;;N;
41;04/09/2011;05:00;22,31;;N;
42;05/09/2011;01:00;22,32;;N;
43;06/09/2011;02:00;22,32;;N;
44;07/09/2011;02:00;22,32;;N;
45;08/09/2011;02:00;22,32;;N;
46;09/09/2011;15:00;22,35;;N;
47;10/09/2011;02:00;22,35;;N;
48;11/09/2011;06:00;22,37;;N;
49;12/09/2011;03:00;22,37;;N;
50;13/09/2011;03:00;22,35;;N;
51;14/09/2011;04:00;22,36;;N;
52;15/09/2011;13:00;22,36;;N;
53;16/09/2011;05:00;22,36;;N;
54;17/09/2011;03:00;22,36;;N;
55;18/09/2011;03:00;22,37;;N;
56;19/09/2011;00:00;22,37;;N;
57;20/09/2011;20:00;22,37;;N;
