
Id Ponto:;3100020114
Consulta em:;06/09/2024 14:20:22
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;02/04/2012;18:00;42,66;;N;
2;03/04/2012;11:00;42,65;;N;
3;04/04/2012;11:00;42,65;;N;
4;05/04/2012;11:00;42,66;;N;
5;06/04/2012;11:00;42,66;;N;
6;07/04/2012;5:00;42,66;;N;
7;08/04/2012;2:00;42,67;;N;
8;09/04/2012;12:00;42,67;;N;
9;10/04/2012;7:00;42,68;;N;
10;11/04/2012;13:00;42,68;;N;
11;12/04/2012;3:00;42,68;;N;
12;13/04/2012;5:00;42,68;;N;
13;14/04/2012;5:00;42,68;;N;
14;15/04/2012;6:00;42,69;;N;
15;16/04/2012;2:00;42,69;;N;
16;17/04/2012;8:00;42,70;;N;
17;18/04/2012;0:00;42,69;;N;
18;19/04/2012;19:00;42,69;;N;
19;20/04/2012;6:00;42,70;;N;
20;21/04/2012;3:00;42,70;;N;
21;22/04/2012;20:00;42,70;;N;
22;23/04/2012;18:00;42,71;;N;
23;24/04/2012;13:00;42,71;;N;
24;25/04/2012;0:00;42,71;;N;
25;26/04/2012;18:00;42,70;;N;
26;27/04/2012;13:00;42,71;;N;
27;28/04/2012;12:00;42,72;;N;
28;29/04/2012;5:00;42,72;;N;
29;30/04/2012;15:00;42,72;;N;
30;01/05/2012;17:00;42,72;;N;
31;02/05/2012;13:00;42,72;;N;
32;03/05/2012;4:00;42,73;;N;
33;04/05/2012;4:00;42,73;;N;
34;05/05/2012;5:00;42,73;;N;
35;06/05/2012;8:00;42,73;;N;
36;07/05/2012;18:00;42,73;;N;
37;08/05/2012;19:00;42,73;;N;
38;09/05/2012;18:00;42,73;;N;
39;10/05/2012;0:00;42,74;;N;
40;11/05/2012;1:00;42,74;;N;
41;12/05/2012;7:00;42,75;;N;
42;13/05/2012;18:00;42,74;;N;
43;14/05/2012;19:00;42,74;;N;
44;15/05/2012;1:00;42,75;;N;
45;16/05/2012;2:00;42,75;;N;
46;17/05/2012;16:00;42,75;;N;
47;18/05/2012;19:00;42,75;;N;
48;19/05/2012;12:00;42,75;;N;
49;20/05/2012;21:00;42,76;;N;
50;21/05/2012;11:00;42,76;;N;
51;22/05/2012;2:00;42,75;;N;
52;23/05/2012;0:00;42,75;;N;
53;24/05/2012;3:00;42,75;;N;
54;25/05/2012;18:00;42,75;;N;
55;26/05/2012;5:00;42,76;;N;
56;27/05/2012;20:00;42,75;;N;
57;28/05/2012;22:00;42,76;;N;
58;29/05/2012;1:00;42,76;;N;
59;30/05/2012;17:00;42,76;;N;
60;31/05/2012;1:00;42,76;;N;
