
Id Ponto:;3500029178
Consulta em:;06/09/2024 15:51:29
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;25/03/2012;18:00;13,49;;N;
2;26/03/2012;03:00;13,50;;N;
3;27/03/2012;01:00;13,51;;N;
4;28/03/2012;02:00;13,51;;N;
5;29/03/2012;10:00;13,51;;N;
6;30/03/2012;08:00;13,52;;N;
7;31/03/2012;07:00;13,53;;N;
8;01/04/2012;12:00;13,53;;N;
9;02/04/2012;15:00;13,53;;N;
10;03/04/2012;14:00;13,54;;N;
11;04/04/2012;02:00;13,55;;N;
12;05/04/2012;00:00;13,56;;N;
13;06/04/2012;17:00;13,56;;N;
14;07/04/2012;03:00;13,57;;N;
15;08/04/2012;01:00;13,58;;N;
16;09/04/2012;11:00;13,58;;N;
17;10/04/2012;05:00;13,59;;N;
18;11/04/2012;12:00;13,59;;N;
19;12/04/2012;06:00;13,60;;N;
20;13/04/2012;15:00;13,60;;N;
21;14/04/2012;06:00;13,61;;N;
22;15/04/2012;06:00;13,62;;N;
23;16/04/2012;09:00;13,62;;N;
24;17/04/2012;07:00;13,63;;N;
25;18/04/2012;15:00;13,63;;N;
26;19/04/2012;17:00;13,63;;N;
27;20/04/2012;17:00;13,64;;N;
28;21/04/2012;14:00;13,65;;N;
29;22/04/2012;15:00;13,65;;N;
30;23/04/2012;10:00;13,66;;N;
31;24/04/2012;00:00;13,67;;N;
32;25/04/2012;10:00;13,67;;N;
33;26/04/2012;16:00;13,67;;N;
34;27/04/2012;13:00;13,68;;N;
35;28/04/2012;06:00;13,69;;N;
36;29/04/2012;08:00;13,70;;N;
37;30/04/2012;15:00;13,70;;N;
38;01/05/2012;09:00;13,71;;N;
39;02/05/2012;07:00;13,72;;N;
40;03/05/2012;12:00;13,72;;N;
41;04/05/2012;06:00;13,73;;N;
42;05/05/2012;07:00;13,74;;N;
43;06/05/2012;00:00;13,75;;N;
44;07/05/2012;12:00;13,75;;N;
45;08/05/2012;01:00;13,76;;N;
46;09/05/2012;08:00;13,76;;N;
47;10/05/2012;16:00;13,76;;N;
48;11/05/2012;10:00;13,76;;N;
49;12/05/2012;10:00;13,78;;N;
50;13/05/2012;15:00;13,78;;N;
51;14/05/2012;13:00;13,78;;N;
52;15/05/2012;00:00;13,80;;N;
53;16/05/2012;08:00;13,80;;N;
54;17/05/2012;02:00;13,81;;N;
55;18/05/2012;14:00;13,81;;N;
56;19/05/2012;09:00;13,82;;N;
57;20/05/2012;01:00;13,83;;N;
58;21/05/2012;10:00;13,83;;N;
59;22/05/2012;09:00;13,84;;N;
60;23/05/2012;07:00;13,85;;N;
61;24/05/2012;08:00;13,86;;N;
62;25/05/2012;17:00;13,87;;N;
63;26/05/2012;02:00;13,88;;N;
64;27/05/2012;13:00;13,88;;N;
65;28/05/2012;16:00;13,88;;N;
66;29/05/2012;07:00;13,89;;N;
67;30/05/2012;14:00;13,89;;N;
68;31/05/2012;06:00;13,90;;N;
69;01/06/2012;17:00;13,90;;N;
70;02/06/2012;06:00;13,91;;N;
71;03/06/2012;08:00;13,91;;N;
72;04/06/2012;16:00;13,91;;N;
73;05/06/2012;10:00;13,92;;N;
74;06/06/2012;15:00;13,91;;N;
75;07/06/2012;08:00;13,91;;N;
76;08/06/2012;11:00;13,91;;N;
77;09/06/2012;13:00;13,91;;N;
78;10/06/2012;23:00;13,90;;N;
79;11/06/2012;09:00;13,91;;N;
80;12/06/2012;05:00;13,92;;N;
81;13/06/2012;10:00;13,92;;N;
82;14/06/2012;15:00;13,92;;N;
83;15/06/2012;03:00;13,93;;N;
84;16/06/2012;12:00;13,93;;N;
85;17/06/2012;21:00;13,93;;N;
86;18/06/2012;00:00;13,94;;N;
87;19/06/2012;14:00;13,94;;N;
88;20/06/2012;18:00;13,94;;N;
89;21/06/2012;14:00;13,93;;N;
90;22/06/2012;07:00;13,92;;N;
91;23/06/2012;13:00;13,90;;N;
