# Processado em: 2025-03-10T17:51:51.700637
,data_da_medicao,niveldagua_m,date,tempo_s
0,25/03/2012,13.49,2012-03-25,385948800.0
1,26/03/2012,13.5,2012-03-26,386035200.0
2,27/03/2012,13.51,2012-03-27,386121600.0
3,28/03/2012,13.51,2012-03-28,386208000.0
4,29/03/2012,13.51,2012-03-29,386294400.0
5,30/03/2012,13.52,2012-03-30,386380800.0
6,31/03/2012,13.53,2012-03-31,386467200.0
7,01/04/2012,13.53,2012-04-01,386553600.0
8,02/04/2012,13.53,2012-04-02,386640000.0
9,03/04/2012,13.54,2012-04-03,386726400.0
10,04/04/2012,13.55,2012-04-04,386812800.0
11,05/04/2012,13.56,2012-04-05,386899200.0
12,06/04/2012,13.56,2012-04-06,386985600.0
13,07/04/2012,13.57,2012-04-07,387072000.0
14,08/04/2012,13.58,2012-04-08,387158400.0
15,09/04/2012,13.58,2012-04-09,387244800.0
16,10/04/2012,13.59,2012-04-10,387331200.0
17,11/04/2012,13.59,2012-04-11,387417600.0
18,12/04/2012,13.6,2012-04-12,387504000.0
19,13/04/2012,13.6,2012-04-13,387590400.0
20,14/04/2012,13.61,2012-04-14,387676800.0
21,15/04/2012,13.62,2012-04-15,387763200.0
22,16/04/2012,13.62,2012-04-16,387849600.0
23,17/04/2012,13.63,2012-04-17,387936000.0
24,18/04/2012,13.63,2012-04-18,388022400.0
25,19/04/2012,13.63,2012-04-19,388108800.0
26,20/04/2012,13.64,2012-04-20,388195200.0
27,21/04/2012,13.65,2012-04-21,388281600.0
28,22/04/2012,13.65,2012-04-22,388368000.0
29,23/04/2012,13.66,2012-04-23,388454400.0
30,24/04/2012,13.67,2012-04-24,388540800.0
31,25/04/2012,13.67,2012-04-25,388627200.0
32,26/04/2012,13.67,2012-04-26,388713600.0
33,27/04/2012,13.68,2012-04-27,388800000.0
34,28/04/2012,13.69,2012-04-28,388886400.0
35,29/04/2012,13.7,2012-04-29,388972800.0
36,30/04/2012,13.7,2012-04-30,389059200.0
37,01/05/2012,13.71,2012-05-01,389145600.0
38,02/05/2012,13.72,2012-05-02,389232000.0
39,03/05/2012,13.72,2012-05-03,389318400.0
40,04/05/2012,13.73,2012-05-04,389404800.0
41,05/05/2012,13.74,2012-05-05,389491200.0
42,06/05/2012,13.75,2012-05-06,389577600.0
43,07/05/2012,13.75,2012-05-07,389664000.0
44,08/05/2012,13.76,2012-05-08,389750400.0
45,09/05/2012,13.76,2012-05-09,389836800.0
46,10/05/2012,13.76,2012-05-10,389923200.0
47,11/05/2012,13.76,2012-05-11,390009600.0
48,12/05/2012,13.78,2012-05-12,390096000.0
