
Id Ponto:;3100020111
Consulta em:;06/09/2024 13:22:45
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;15/06/2011;23:00;14,85;;N;
2;16/06/2011;0:00;14,84;;N;
3;17/06/2011;20:00;14,88;;N;
4;18/06/2011;9:00;14,88;;N;
5;19/06/2011;8:00;14,90;;N;
6;20/06/2011;0:00;14,93;;N;
7;21/06/2011;10:00;14,95;;N;
8;22/06/2011;9:00;14,97;;N;
9;23/06/2011;8:00;15,00;;N;
10;24/06/2011;8:00;15,00;;N;
11;25/06/2011;17:00;15,04;;N;
12;26/06/2011;12:00;15,08;;N;
13;27/06/2011;6:00;15,10;;N;
14;28/06/2011;22:00;15,10;;N;
15;29/06/2011;11:00;15,12;;N;
16;30/06/2011;21:00;15,17;;N;
17;01/07/2011;19:00;15,16;;N;
18;02/07/2011;9:00;15,17;;N;
19;03/07/2011;6:00;15,19;;N;
20;04/07/2011;12:00;15,21;;N;
21;05/07/2011;6:00;15,23;;N;
22;06/07/2011;10:00;15,27;;N;
23;07/07/2011;23:00;15,28;;N;
24;08/07/2011;18:00;15,28;;N;
25;09/07/2011;18:00;15,33;;N;
26;10/07/2011;20:00;15,32;;N;
27;11/07/2011;22:00;15,34;;N;
28;12/07/2011;11:00;15,38;;N;
29;13/07/2011;20:00;15,44;;N;
30;14/07/2011;2:00;15,43;;N;
31;15/07/2011;10:00;15,48;;N;
32;16/07/2011;22:00;15,50;;N;
33;17/07/2011;19:00;15,52;;N;
34;18/07/2011;3:00;15,51;;N;
35;19/07/2011;22:00;15,56;;N;
36;20/07/2011;22:00;15,57;;N;
37;21/07/2011;16:00;15,58;;N;
38;22/07/2011;8:00;15,62;;N;
39;23/07/2011;12:00;15,61;;N;
40;24/07/2011;2:00;15,66;;N;
41;25/07/2011;3:00;15,67;;N;
42;26/07/2011;2:00;15,67;;N;
43;27/07/2011;16:00;15,68;;N;
44;28/07/2011;15:00;15,73;;N;
45;29/07/2011;18:00;15,73;;N;
46;30/07/2011;18:00;15,75;;N;
47;31/07/2011;22:00;15,77;;N;
48;01/08/2011;0:00;15,77;;N;
49;02/08/2011;9:00;15,83;;N;
50;03/08/2011;20:00;15,83;;N;
51;04/08/2011;12:00;15,83;;N;
52;05/08/2011;23:00;15,86;;N;
53;06/08/2011;15:00;15,87;;N;
54;07/08/2011;7:00;15,82;;N;
55;08/08/2011;1:00;15,83;;N;
56;09/08/2011;17:00;15,85;;N;
57;10/08/2011;19:00;15,89;;N;
58;11/08/2011;6:00;15,89;;N;
59;12/08/2011;22:00;15,93;;N;
60;13/08/2011;2:00;15,92;;N;
