
Id Ponto:;3100020109
Consulta em:;27/08/2024 12:00:51
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;20/10/2011;17:00;14,31;;N;
2;21/10/2011;05:00;14,32;;N;
3;22/10/2011;16:00;14,32;;N;
4;23/10/2011;05:00;14,31;;N;
5;24/10/2011;11:00;14,34;;N;
6;25/10/2011;20:00;14,40;;N;
7;26/10/2011;11:00;14,42;;N;
8;27/10/2011;05:00;14,44;;N;
9;28/10/2011;11:00;14,46;;N;
10;29/10/2011;11:00;14,50;;N;
11;30/10/2011;16:00;14,50;;N;
12;31/10/2011;04:00;14,51;;N;
13;01/11/2011;03:00;14,52;;N;
14;02/11/2011;04:00;14,52;;N;
15;03/11/2011;06:00;14,54;;N;
16;04/11/2011;08:00;14,56;;N;
17;05/11/2011;08:00;14,59;;N;
18;06/11/2011;05:00;14,61;;N;
19;07/11/2011;11:00;14,62;;N;
20;08/11/2011;11:00;14,64;;N;
21;09/11/2011;01:00;14,67;;N;
22;10/11/2011;03:00;14,68;;N;
23;11/11/2011;04:00;14,70;;N;
24;12/11/2011;01:00;14,72;;N;
25;13/11/2011;02:00;14,75;;N;
26;14/11/2011;11:00;14,76;;N;
27;15/11/2011;04:00;14,79;;N;
28;16/11/2011;14:00;14,79;;N;
29;17/11/2011;03:00;14,81;;N;
30;18/11/2011;04:00;14,81;;N;
31;19/11/2011;05:00;14,82;;N;
32;20/11/2011;13:00;14,84;;N;
33;21/11/2011;08:00;14,86;;N;
34;22/11/2011;01:00;14,88;;N;
35;23/11/2011;03:00;14,88;;N;
36;24/11/2011;05:00;14,89;;N;
37;25/11/2011;11:00;14,91;;N;
38;26/11/2011;03:00;14,94;;N;
39;27/11/2011;12:00;14,95;;N;
40;28/11/2011;00:00;14,96;;N;
41;29/11/2011;11:00;14,97;;N;
42;30/11/2011;04:00;14,99;;N;
43;01/12/2011;13:00;15,00;;N;
44;02/12/2011;06:00;15,01;;N;
45;03/12/2011;03:00;15,02;;N;
46;04/12/2011;13:00;15,03;;N;
47;05/12/2011;06:00;15,04;;N;
48;06/12/2011;12:00;15,04;;N;
49;07/12/2011;11:00;15,05;;N;
50;08/12/2011;08:00;15,06;;N;
51;09/12/2011;03:00;15,08;;N;
52;10/12/2011;01:00;15,09;;N;
53;11/12/2011;21:00;15,08;;N;
54;12/12/2011;22:00;15,07;;N;
55;13/12/2011;23:00;15,07;;N;
56;14/12/2011;19:00;15,07;;N;
