# Processado em: 2025-03-10T16:59:25.797444
,data_da_medicao,niveldagua_m,date,tempo_s
0,15/06/2011,5.71,2011-06-15,361411200.0
1,16/06/2011,5.71,2011-06-16,361497600.0
2,17/06/2011,5.72,2011-06-17,361584000.0
3,18/06/2011,5.73,2011-06-18,361670400.0
4,19/06/2011,5.74,2011-06-19,361756800.0
5,20/06/2011,5.75,2011-06-20,361843200.0
6,21/06/2011,5.77,2011-06-21,361929600.0
7,22/06/2011,5.78,2011-06-22,362016000.0
8,23/06/2011,5.79,2011-06-23,362102400.0
9,24/06/2011,5.8,2011-06-24,362188800.0
10,25/06/2011,5.81,2011-06-25,362275200.0
11,26/06/2011,5.83,2011-06-26,362361600.0
12,27/06/2011,5.84,2011-06-27,362448000.0
13,28/06/2011,5.85,2011-06-28,362534400.0
14,29/06/2011,5.87,2011-06-29,362620800.0
15,30/06/2011,5.88,2011-06-30,362707200.0
16,01/07/2011,5.9,2011-07-01,362793600.0
17,02/07/2011,5.92,2011-07-02,362880000.0
18,03/07/2011,5.93,2011-07-03,362966400.0
19,04/07/2011,5.94,2011-07-04,363052800.0
20,05/07/2011,5.95,2011-07-05,363139200.0
21,06/07/2011,5.96,2011-07-06,363225600.0
22,07/07/2011,5.98,2011-07-07,363312000.0
23,08/07/2011,5.99,2011-07-08,363398400.0
24,09/07/2011,6.0,2011-07-09,363484800.0
25,10/07/2011,6.01,2011-07-10,363571200.0
26,11/07/2011,6.02,2011-07-11,363657600.0
27,12/07/2011,6.03,2011-07-12,363744000.0
28,13/07/2011,6.04,2011-07-13,363830400.0
29,14/07/2011,6.05,2011-07-14,363916800.0
30,15/07/2011,6.06,2011-07-15,364003200.0
31,16/07/2011,6.07,2011-07-16,364089600.0
32,17/07/2011,6.08,2011-07-17,364176000.0
33,18/07/2011,6.09,2011-07-18,364262400.0
34,19/07/2011,6.1,2011-07-19,364348800.0
35,20/07/2011,6.1,2011-07-20,364435200.0
36,21/07/2011,6.09,2011-07-21,364521600.0
37,22/07/2011,6.08,2011-07-22,364608000.0
38,23/07/2011,6.07,2011-07-23,364694400.0
39,24/07/2011,6.07,2011-07-24,364780800.0
40,25/07/2011,6.07,2011-07-25,364867200.0
41,26/07/2011,6.06,2011-07-26,364953600.0
42,27/07/2011,6.05,2011-07-27,365040000.0
43,28/07/2011,6.05,2011-07-28,365126400.0
44,29/07/2011,6.04,2011-07-29,365212800.0
45,30/07/2011,6.04,2011-07-30,365299200.0
46,31/07/2011,6.05,2011-07-31,365385600.0
47,01/08/2011,6.05,2011-08-01,365472000.0
48,02/08/2011,6.06,2011-08-02,365558400.0
49,03/08/2011,6.06,2011-08-03,365644800.0
50,04/08/2011,6.05,2011-08-04,365731200.0
51,05/08/2011,6.05,2011-08-05,365817600.0
52,06/08/2011,6.05,2011-08-06,365904000.0
53,07/08/2011,6.06,2011-08-07,365990400.0
54,08/08/2011,6.08,2011-08-08,366076800.0
55,09/08/2011,6.13,2011-08-09,366163200.0
56,10/08/2011,6.17,2011-08-10,366249600.0
57,11/08/2011,6.2,2011-08-11,366336000.0
58,12/08/2011,6.22,2011-08-12,366422400.0
59,13/08/2011,6.24,2011-08-13,366508800.0
60,14/08/2011,6.26,2011-08-14,366595200.0
61,15/08/2011,6.28,2011-08-15,366681600.0
62,16/08/2011,6.29,2011-08-16,366768000.0
63,17/08/2011,6.3,2011-08-17,366854400.0
64,18/08/2011,6.31,2011-08-18,366940800.0
65,19/08/2011,6.32,2011-08-19,367027200.0
66,20/08/2011,6.33,2011-08-20,367113600.0
67,21/08/2011,6.33,2011-08-21,367200000.0
68,22/08/2011,6.34,2011-08-22,367286400.0
69,23/08/2011,6.35,2011-08-23,367372800.0
70,24/08/2011,6.35,2011-08-24,367459200.0
71,25/08/2011,6.36,2011-08-25,367545600.0
72,26/08/2011,6.37,2011-08-26,367632000.0
73,27/08/2011,6.38,2011-08-27,367718400.0
74,28/08/2011,6.38,2011-08-28,367804800.0
75,29/08/2011,6.39,2011-08-29,367891200.0
76,30/08/2011,6.39,2011-08-30,367977600.0
77,31/08/2011,6.41,2011-08-31,368064000.0
78,01/09/2011,6.41,2011-09-01,368150400.0
79,02/09/2011,6.42,2011-09-02,368236800.0
80,03/09/2011,6.42,2011-09-03,368323200.0
81,04/09/2011,6.43,2011-09-04,368409600.0
82,05/09/2011,6.44,2011-09-05,368496000.0
83,06/09/2011,6.45,2011-09-06,368582400.0
84,07/09/2011,6.46,2011-09-07,368668800.0
85,08/09/2011,6.46,2011-09-08,368755200.0
86,09/09/2011,6.47,2011-09-09,368841600.0
87,10/09/2011,6.48,2011-09-10,368928000.0
88,11/09/2011,6.49,2011-09-11,369014400.0
89,12/09/2011,6.5,2011-09-12,369100800.0
90,13/09/2011,6.5,2011-09-13,369187200.0
91,14/09/2011,6.51,2011-09-14,369273600.0
92,15/09/2011,6.51,2011-09-15,369360000.0
93,16/09/2011,6.52,2011-09-16,369446400.0
94,17/09/2011,6.53,2011-09-17,369532800.0
95,18/09/2011,6.54,2011-09-18,369619200.0
96,19/09/2011,6.54,2011-09-19,369705600.0
97,20/09/2011,6.55,2011-09-20,369792000.0
98,21/09/2011,6.56,2011-09-21,369878400.0
99,22/09/2011,6.57,2011-09-22,369964800.0
100,23/09/2011,6.57,2011-09-23,370051200.0
101,24/09/2011,6.58,2011-09-24,370137600.0
102,25/09/2011,6.59,2011-09-25,370224000.0
103,26/09/2011,6.6,2011-09-26,370310400.0
104,27/09/2011,6.6,2011-09-27,370396800.0
105,28/09/2011,6.61,2011-09-28,370483200.0
106,29/09/2011,6.62,2011-09-29,370569600.0
107,30/09/2011,6.63,2011-09-30,370656000.0
108,01/10/2011,6.63,2011-10-01,370742400.0
109,02/10/2011,6.63,2011-10-02,370828800.0
110,03/10/2011,6.63,2011-10-03,370915200.0
111,04/10/2011,6.64,2011-10-04,371001600.0
112,05/10/2011,6.65,2011-10-05,371088000.0
113,06/10/2011,6.66,2011-10-06,371174400.0
114,07/10/2011,6.66,2011-10-07,371260800.0
115,08/10/2011,6.67,2011-10-08,371347200.0
116,09/10/2011,6.68,2011-10-09,371433600.0
117,10/10/2011,6.69,2011-10-10,371520000.0
118,11/10/2011,6.71,2011-10-11,371606400.0
119,12/10/2011,6.73,2011-10-12,371692800.0
120,13/10/2011,6.76,2011-10-13,371779200.0
121,14/10/2011,6.77,2011-10-14,371865600.0
122,15/10/2011,6.78,2011-10-15,371952000.0
123,16/10/2011,6.8,2011-10-16,372038400.0
124,17/10/2011,6.81,2011-10-17,372124800.0
125,18/10/2011,6.8,2011-10-18,372211200.0
126,19/10/2011,6.81,2011-10-19,372297600.0
127,20/10/2011,6.8,2011-10-20,372384000.0
128,21/10/2011,6.79,2011-10-21,372470400.0
129,22/10/2011,6.79,2011-10-22,372556800.0
130,23/10/2011,6.8,2011-10-23,372643200.0
131,24/10/2011,6.82,2011-10-24,372729600.0
132,25/10/2011,6.84,2011-10-25,372816000.0
133,26/10/2011,6.86,2011-10-26,372902400.0
134,27/10/2011,6.85,2011-10-27,372988800.0
135,28/10/2011,6.84,2011-10-28,373075200.0
